,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Macintosh,iOS,Linux,Chrome OS,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
34,18 jul 2022,131,60,69,1.1594202898550725,80,111,20,63,57,11,43.66666666666666,23.22833518691246,70,53,4,4,0,0,0,14.555555555555555,25.460693501557394,85,35,4,7,32.75,32.4990384473141
35,19 jul 2022,91,39,47,1.0851063829787233,51,74,17,42,49,0,30.33333333333333,21.638443156156644,41,44,5,1,0,0,0,10.111111111111109,17.393769283181353,54,25,0,12,22.75,20.09197601033806
36,20 jul 2022,58,24,25,1.36,34,42,16,21,37,0,19.33333333333333,15.15109090315135,19,19,18,2,0,0,0,6.4444444444444455,8.668091051040927,45,13,0,0,14.5,18.39157415774952
37,21 jul 2022,54,19,27,1.148148148148148,31,34,20,21,33,0,18.0,13.638181696985855,20,33,0,1,0,0,0,6.0,11.382247385975914,32,21,0,1,13.5,13.573871960498225
38,22 jul 2022,48,27,32,1.125,36,41,7,25,23,0,16.0,11.343133018115704,21,22,1,4,0,0,0,5.333333333333333,8.73053390247253,30,17,1,0,12.0,12.389511693363865
39,23 jul 2022,39,23,27,1.0,27,30,9,32,7,0,13.0,13.73559851869101,30,6,1,2,0,0,0,4.333333333333333,9.261629326299868,26,13,0,0,9.75,10.779030568655047
40,24 jul 2022,45,19,21,1.0952380952380951,23,21,24,43,2,0,15.0,19.815818596935802,42,2,0,1,0,0,0,5.0,13.097921802925669,42,3,0,0,11.25,17.795715776557007
41,25 jul 2022,116,25,35,1.1142857142857143,39,87,29,56,44,16,38.66666666666666,16.759740119968715,68,42,2,4,0,0,0,12.888888888888891,23.364001010312357,60,13,3,40,29.0,22.438805672316875
42,26 jul 2022,117,40,46,1.173913043478261,54,114,3,52,65,0,39.0,28.08320969310073,50,62,3,2,0,0,0,13.0,23.18045153428495,77,33,0,7,29.25,30.185882461839675
43,27 jul 2022,135,38,50,1.16,58,125,10,57,78,0,45.0,32.95451410656816,56,69,6,1,3,0,0,15.0,25.642846089222537,72,52,2,9,33.75,29.22648627529488
44,28 jul 2022,142,29,39,1.1025641025641026,43,134,8,68,74,0,47.33333333333334,33.55923452974192,68,71,1,0,2,0,0,15.777777777777779,28.73162321971221,84,47,0,11,35.5,32.958306995353986
45,29 jul 2022,139,35,49,1.2653061224489797,62,132,7,40,99,0,46.33333333333334,40.663934334438856,39,98,0,1,1,0,0,15.444444444444445,31.58801147802442,94,39,2,4,34.75,37.23825318137251
46,30 jul 2022,110,22,31,1.0,31,106,4,34,76,0,36.66666666666666,31.08411527166605,32,76,0,2,0,0,0,12.222222222222221,24.629601782217623,48,61,1,0,27.5,27.39069184960468
47,31 jul 2022,67,21,23,1.1304347826086956,26,58,9,25,42,0,22.33333333333333,17.249798710580812,25,42,0,0,0,0,0,7.4444444444444455,14.492228653938104,61,6,0,0,16.75,25.66490794840301
48,1 ago 2022,132,22,35,1.1714285714285717,41,128,4,33,94,5,44.0,37.15732319027659,33,92,2,5,0,0,0,14.666666666666664,29.147136318265567,42,54,9,27,33.0,16.837458240482732
49,2 ago 2022,151,53,66,1.1666666666666667,77,143,8,64,87,0,50.33333333333334,36.80881536926839,61,84,0,3,3,0,0,16.77777777777778,30.29769986787695,113,22,0,16,37.75,44.18356594934365
50,3 ago 2022,62,29,36,1.3142857142857145,46,57,5,29,33,0,20.666666666666668,14.70449666674185,29,32,0,0,1,0,0,6.888888888888888,12.644229640823381,31,19,0,12,15.5,11.236102527122116
51,4 ago 2022,276,39,48,1.3409090909090908,59,268,8,140,135,1,92.0,64.37908563086826,139,126,0,2,9,0,0,30.66666666666667,54.5873408198071,223,46,0,7,69.0,90.62284480195929
52,5 ago 2022,213,35,49,1.3658536585365857,56,209,4,40,172,1,71.0,73.17103251970688,40,167,4,1,1,0,0,23.66666666666667,52.13870390069592,100,106,0,7,53.25,49.85666956386076
53,6 ago 2022,86,22,24,1.0416666666666667,25,80,6,24,62,0,28.66666666666667,25.525586292102197,24,62,0,0,0,0,0,9.555555555555557,19.995061118581322,74,12,0,0,21.5,30.704234235688077
54,7 ago 2022,41,16,20,1.1666666666666667,21,33,8,15,26,0,13.666666666666664,10.656244908763853,14,22,0,1,4,0,0,4.5555555555555545,7.529366376043296,20,17,0,4,10.25,8.437268515343103
55,8 ago 2022,378,88,98,1.1382978723404256,107,369,9,205,169,4,126.0,87.50999942863675,205,145,14,4,10,0,0,42.0,72.63760886911284,242,116,1,19,94.5,95.7353121893902
56,9 ago 2022,181,57,69,1.140625,73,177,4,92,89,0,60.33333333333334,42.67968551378461,89,83,4,3,2,0,0,20.11111111111111,35.27493426860384,132,41,2,6,45.25,52.33247079968611
57,10 ago 2022,199,39,58,1.3518518518518519,73,193,6,120,79,0,66.33333333333333,49.80182950677838,114,78,1,6,0,0,0,22.11111111111111,40.437728380105746,124,60,2,13,49.75,48.0852108241193
58,11 ago 2022,200,41,52,1.3469387755102042,66,195,5,55,145,0,66.66666666666667,59.7680702568037,53,144,1,2,0,0,0,22.222222222222218,46.074282481367405,135,54,1,10,50.0,53.01414905475707
59,12 ago 2022,126,27,42,1.457142857142857,51,124,2,48,78,0,42.0,32.12475680841802,48,74,1,0,3,0,0,14.0,25.8757715934338,54,59,1,12,31.5,25.3623737059448
60,13 ago 2022,61,17,30,1.4782608695652173,34,54,7,52,9,0,20.33333333333333,22.691163233490013,51,9,0,1,0,0,0,6.777777777777778,15.879950865987364,36,19,4,2,15.25,13.663363421939707
61,14 ago 2022,91,19,26,1.5,33,78,13,47,44,0,30.33333333333333,21.483844059096022,47,44,0,0,0,0,0,10.111111111111109,18.92936839026387,77,14,0,0,22.75,31.83845944765544
62,15 ago 2022,89,22,34,1.5357142857142858,43,73,16,64,25,0,29.66666666666667,26.33544295347157,64,25,0,0,0,0,0,9.888888888888891,20.658301771897065,74,11,2,2,22.25,30.102948360584215
63,16 ago 2022,627,99,122,1.4035087719298245,160,617,10,485,142,0,209.0,203.58945617754048,441,138,2,44,0,2,0,69.66666666666667,138.15771985508286,389,220,13,5,156.75,159.3994589074881
64,17 ago 2022,312,43,62,1.3454545454545457,74,303,9,162,150,0,104.0,73.70210309075311,161,148,1,1,1,0,0,34.666666666666664,64.12834353423176,221,38,4,49,78.0,84.211044406301
65,18 ago 2022,146,65,73,1.1690140845070425,83,141,5,49,97,0,48.66666666666666,39.60078562632593,46,90,5,3,2,0,0,16.22222222222222,29.600216882755646,70,59,1,16,36.5,28.761954036539308
66,19 ago 2022,111,24,45,1.6470588235294117,56,108,3,33,78,0,37.0,31.968734726291558,27,78,0,6,0,0,0,12.333333333333336,24.67567403109567,67,38,2,4,27.75,26.799020504488592
67,20 ago 2022,75,18,29,1.3636363636363635,30,68,7,24,51,0,25.0,20.83266665599966,21,49,0,3,1,1,0,8.333333333333334,15.733898294941266,66,3,1,5,18.75,27.31643278321677
68,21 ago 2022,45,7,11,1.5555555555555556,14,44,1,19,26,0,15.0,10.98483803552272,18,25,0,1,0,1,0,5.0,8.981462390204989,43,2,0,0,11.25,18.34904629674251
69,22 ago 2022,143,34,48,1.2093023255813953,52,138,5,71,72,0,47.66666666666666,33.70789554721894,71,70,1,0,1,0,0,15.888888888888891,29.19453694879097,86,53,1,3,35.75,35.716767770894386
70,23 ago 2022,465,127,149,1.2569444444444444,181,439,26,201,264,0,155.0,112.57886124845994,196,256,6,5,2,0,0,51.66666666666666,94.27618999514141,224,184,0,57,116.25,91.13828778290714
71,24 ago 2022,190,51,65,1.2741935483870968,79,166,24,93,97,0,63.33333333333334,44.81319250201018,93,96,1,0,0,0,0,21.11111111111111,39.23559734176902,133,30,1,26,47.5,50.59891303180336
72,25 ago 2022,195,50,62,1.3333333333333333,76,184,11,58,137,0,65.0,56.14861233073054,56,135,1,2,1,0,0,21.66666666666667,43.64248694410834,158,33,2,2,48.75,64.3326316887472
73,26 ago 2022,60,23,37,1.34375,43,47,13,29,31,0,20.0,14.16568624058385,25,30,1,4,0,0,0,6.666666666666668,11.2644968324772,47,13,0,0,15.0,19.222382786741086
74,27 ago 2022,62,20,23,1.181818181818182,26,54,8,42,20,0,20.666666666666668,17.15290710702481,42,20,0,0,0,0,0,6.888888888888888,13.891999651633586,36,8,0,18,15.5,13.444329659748751
75,28 ago 2022,22,15,19,1.1111111111111112,20,17,5,11,11,0,7.333333333333332,5.1854497287013475,11,11,0,0,0,0,0,2.4444444444444446,4.5731368060570405,15,6,0,1,5.5,5.937171043518957
76,29 ago 2022,185,33,40,1.2972972972972974,48,182,3,74,111,0,61.66666666666666,46.14710777021193,60,109,1,14,1,0,0,20.555555555555557,36.326027128129226,169,12,3,1,46.25,70.9907564405395
77,30 ago 2022,170,28,45,1.358974358974359,53,160,10,46,124,0,56.66666666666666,51.18159391378464,45,123,1,1,0,0,0,18.88888888888889,39.36282635641695,158,11,0,1,42.5,66.82252614201292
78,31 ago 2022,59,23,29,1.1153846153846154,29,58,1,12,47,0,19.666666666666668,19.938795238317574,12,45,1,0,1,0,0,6.5555555555555545,14.080018237923094,40,17,1,1,14.75,15.974589196595948
79,1 sept 2022,74,28,36,1.3142857142857145,46,58,16,33,41,0,24.66666666666667,17.745108872274887,32,38,2,1,1,0,0,8.222222222222221,14.397359154278394,27,39,0,8,18.5,15.370426148939398
80,2 sept 2022,51,24,29,1.2307692307692308,32,35,16,17,34,0,17.0,13.880441875771346,16,32,2,1,0,0,0,5.666666666666668,10.519822558706334,43,6,1,1,12.75,17.583728273605686
81,3 sept 2022,28,15,19,1.2352941176470589,21,24,4,17,11,0,9.333333333333334,7.039570693980958,16,10,1,1,0,0,0,3.111111111111111,5.486234175834893,25,2,1,0,7.0,10.41633332799983
82,4 sept 2022,43,19,23,1.263157894736842,24,39,4,15,28,0,14.333333333333336,11.440668201153677,15,28,0,0,0,0,0,4.777777777777779,9.449018500208576,30,7,1,5,10.75,11.321991874224253
83,5 sept 2022,192,55,71,1.1304347826086956,78,171,21,50,142,0,64.0,58.81042991397586,48,138,4,2,0,0,0,21.33333333333333,43.807660415857754,114,71,1,6,48.0,47.05847426340978
84,6 sept 2022,98,32,46,1.45,58,86,12,45,52,1,32.666666666666664,22.573337271116014,43,52,0,3,0,0,0,10.888888888888891,19.705861758733644,60,37,1,0,24.5,25.342651794948374
85,7 sept 2022,144,30,39,1.2222222222222223,44,139,5,45,93,6,48.0,35.58089374931439,41,86,7,10,0,0,0,16.0,27.73285255993532,120,8,2,14,36.0,48.68264577855234
86,8 sept 2022,63,25,33,1.2,36,59,4,17,46,0,21.0,18.991226044325487,16,37,4,1,3,0,2,7.0,11.61416759345623,29,26,1,7,15.75,11.986972094736853
87,9 sept 2022,48,16,24,1.2272727272727273,27,44,4,27,21,0,16.0,11.575836902790224,25,21,0,2,0,0,0,5.333333333333333,9.510228411791402,18,16,0,14,12.0,7.071067811865476
88,10 sept 2022,57,19,21,1.0476190476190477,22,56,1,20,37,0,19.0,15.121728296285006,19,37,0,1,0,0,0,6.333333333333332,12.337837015547832,55,2,0,0,14.25,23.541187310753887
89,11 sept 2022,91,29,34,1.1290322580645162,35,74,17,48,43,0,30.33333333333333,21.545816814923075,46,41,2,2,0,0,0,10.111111111111109,17.90372055960836,68,21,1,1,22.75,27.37128970289855
90,12 sept 2022,125,36,50,1.2708333333333333,61,116,9,30,95,0,41.66666666666666,39.65125751123439,30,92,2,0,1,0,0,13.888888888888891,29.12213531717925,117,7,1,0,31.25,49.58011194017214
91,13 sept 2022,121,38,47,1.108695652173913,51,95,26,35,86,0,40.333333333333336,35.311313893551024,23,76,10,12,0,0,0,13.444444444444445,23.38618353316577,75,41,3,2,30.25,30.24380101772924
92,14 sept 2022,143,40,46,1.2666666666666666,57,108,35,67,76,0,47.66666666666666,33.905096306537104,63,75,1,4,0,0,0,15.888888888888891,28.55577172421422,113,25,0,5,35.75,45.57068685021107
93,15 sept 2022,124,31,45,1.3,52,115,9,64,60,0,41.333333333333336,29.272664533466862,63,59,0,1,1,0,0,13.777777777777779,25.262083039729184,98,10,1,15,31.0,39.00640972968417
94,16 sept 2022,70,32,40,1.236842105263158,47,67,3,17,50,3,23.33333333333333,19.70335560817553,18,50,0,2,0,0,0,7.777777777777778,15.92885416662882,58,11,1,0,17.5,23.77498685593748
95,17 sept 2022,116,15,22,1.1578947368421053,22,97,19,12,104,0,38.66666666666666,46.45667037382493,12,101,3,0,0,0,0,12.888888888888891,31.373890221875914,59,57,0,0,29.0,29.00861940872057
96,18 sept 2022,35,18,23,1.4090909090909092,31,32,3,8,27,0,11.666666666666664,11.323525167642016,6,21,1,2,5,0,0,3.888888888888889,6.419491922513018,32,2,0,1,8.75,13.442005058770066
97,19 sept 2022,109,26,42,1.2894736842105263,49,99,10,29,80,0,36.333333333333336,33.06895153396242,29,71,1,0,8,0,0,12.111111111111109,22.673746171113827,78,9,7,15,27.25,29.448047473474364
98,20 sept 2022,118,25,36,1.2285714285714286,43,110,8,32,85,1,39.333333333333336,34.68268860525217,32,61,3,1,21,0,0,13.111111111111109,20.13534451568764,68,48,1,1,29.5,29.36409372005205
99,21 sept 2022,87,28,34,1.25,40,68,19,26,61,0,29.0,24.99333244420733,20,61,0,6,0,0,0,9.666666666666666,19.194906731850622,44,33,0,10,21.75,17.555269864060758
100,22 sept 2022,62,32,37,1.2352941176470589,42,45,17,21,41,0,20.666666666666668,16.73983937265296,17,39,1,4,1,0,0,6.888888888888888,12.476150086771733,48,10,1,3,15.5,19.05911855254592
101,23 sept 2022,46,27,29,1.2142857142857142,34,38,8,17,28,1,15.333333333333336,11.08552609887726,15,28,0,3,0,0,0,5.111111111111111,9.326717231748141,35,10,1,0,11.5,14.115594213493106
102,24 sept 2022,45,20,26,1.380952380952381,29,34,11,27,18,0,15.0,11.224972160321824,26,18,0,1,0,0,0,5.0,9.285592184789412,32,13,0,0,11.25,13.102957681378658
103,25 sept 2022,73,38,43,1.2307692307692308,48,61,12,30,41,2,24.33333333333333,16.418147141366337,31,34,4,1,3,0,0,8.11111111111111,13.127108884073484,40,22,1,10,18.25,14.600941750448838
104,26 sept 2022,108,31,47,1.4186046511627908,61,100,8,33,74,1,36.0,29.87752778706208,33,70,0,1,4,0,0,12.0,22.87647991569799,78,21,2,7,27.0,30.257230540814533
105,27 sept 2022,136,34,42,1.425,57,118,18,29,107,0,45.33333333333334,45.18357617050199,29,95,12,0,0,0,0,15.111111111111109,29.730061271545953,94,39,0,3,34.0,37.887992820945264
106,28 sept 2022,248,47,56,1.4,77,235,13,35,211,2,82.66666666666667,91.73997069010989,32,208,1,5,2,0,0,27.555555555555557,64.53614165912704,124,111,2,11,62.0,55.780821076782296
107,29 sept 2022,173,31,45,1.4615384615384617,57,166,7,43,130,0,57.66666666666666,54.076078095792255,43,116,1,0,13,0,0,19.222222222222218,36.74167412195517,121,39,3,10,43.25,46.87416665925912
108,30 sept 2022,92,24,30,1.3461538461538465,35,87,5,40,52,0,30.66666666666667,22.23110933404409,40,39,7,0,6,0,0,10.222222222222221,15.865950808625634,62,28,1,1,23.0,25.06990227344335
109,1 oct 2022,53,20,23,1.3333333333333333,28,46,7,41,12,0,17.666666666666668,17.211107524567446,40,12,0,1,0,0,0,5.888888888888888,12.617839614736347,39,13,1,0,13.25,15.722197683530126
110,2 oct 2022,31,13,15,1.2307692307692308,16,28,3,13,18,0,10.333333333333334,7.586537784494028,13,17,1,0,0,0,0,3.4444444444444446,6.25586144900411,26,2,0,3,7.75,10.59186008215743
111,3 oct 2022,100,31,41,1.3243243243243243,49,92,8,54,46,0,33.333333333333336,23.79542439676633,53,45,1,1,0,0,0,11.111111111111109,20.34395593806368,65,33,2,0,25.0,26.542418879973997
112,4 oct 2022,90,30,46,1.375,55,81,9,44,46,0,30.0,21.22891110412088,40,46,0,4,0,0,0,10.0,17.73884626086676,72,14,1,3,22.5,29.004310024546356
113,5 oct 2022,107,38,47,1.2954545454545454,57,94,13,20,87,0,35.666666666666664,37.205137040766594,20,87,0,0,0,0,0,11.888888888888891,27.2781737921016,84,16,3,4,26.75,33.44678609373402
114,6 oct 2022,102,36,49,1.2727272727272727,56,96,6,42,60,0,34.0,25.13961017995307,40,51,9,2,0,0,0,11.333333333333336,18.64880097426582,54,33,3,12,25.5,19.72941965694886
115,7 oct 2022,43,20,23,1.2857142857142858,27,28,15,27,16,0,14.333333333333336,11.08552609887726,23,16,0,4,0,0,0,4.777777777777779,8.134668985654722,28,8,0,7,10.75,10.425329730996523
116,8 oct 2022,0,0,1,,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
117,9 oct 2022,4,2,3,1.0,3,3,1,1,3,0,1.3333333333333333,1.247219128924647,0,3,0,1,0,0,0,0.4444444444444444,0.955813918560292,3,1,0,0,1.0,1.224744871391589
118,10 oct 2022,103,25,35,1.375,44,98,5,23,80,0,34.333333333333336,33.62869145371091,17,47,10,6,23,0,0,11.444444444444445,14.84820311695894,79,22,2,0,25.75,31.924716130296286
119,11 oct 2022,118,31,42,1.3076923076923077,51,102,16,42,76,0,39.333333333333336,31.08411527166605,40,69,1,2,6,0,0,13.111111111111109,23.225677573871387,104,12,0,2,29.5,43.25216757574122
120,12 oct 2022,94,42,48,1.173913043478261,54,81,13,38,56,0,31.33333333333333,23.34285520001546,35,55,1,3,0,0,0,10.444444444444443,19.0852538254079,66,20,3,5,23.5,25.40177159176108
121,13 oct 2022,81,24,36,1.4666666666666666,44,73,8,14,67,0,27.0,28.855964143772198,13,63,3,1,0,1,0,9.0,19.493588689617926,71,8,0,2,20.25,29.448047473474364
122,14 oct 2022,90,28,35,1.3125,42,79,11,37,52,1,30.0,21.40093455903269,37,50,2,1,0,0,0,10.0,18.17813093924797,54,14,0,22,22.5,19.817921182606412
123,15 oct 2022,42,12,15,1.2307692307692308,16,37,5,11,31,0,14.0,12.83225103661344,9,31,0,2,0,0,0,4.666666666666667,9.718253158075502,28,13,0,1,10.5,11.324751652906125
124,16 oct 2022,20,13,16,1.5384615384615383,20,12,8,8,12,0,6.666666666666668,4.988876515698588,6,10,2,2,0,0,0,2.2222222222222223,3.3259176771323924,17,3,0,0,5.0,7.035623639735143
125,17 oct 2022,86,29,38,1.2285714285714286,43,78,8,21,65,0,28.66666666666667,27.0842307543625,19,63,1,2,1,0,0,9.555555555555557,19.760291895679806,60,23,3,0,21.5,23.92174742781137
126,18 oct 2022,101,28,34,1.2903225806451613,40,99,2,20,79,2,33.666666666666664,32.8870119584549,22,77,2,0,0,0,0,11.222222222222221,24.229356747447127,71,29,1,0,25.25,28.864987441535458
127,19 oct 2022,112,29,39,1.1842105263157894,45,89,23,23,89,0,37.333333333333336,37.72119946248911,16,88,0,7,1,0,0,12.444444444444445,27.195224707907453,92,20,0,0,28.0,37.841775856849004
128,20 oct 2022,132,51,57,1.1428571428571428,64,115,17,58,74,0,44.0,31.79098404684364,50,73,1,8,0,0,0,14.666666666666664,25.729360660537214,99,18,1,14,33.0,38.61994303465504
129,21 oct 2022,84,32,39,1.236842105263158,47,80,4,18,66,0,28.0,27.85677655436824,15,60,5,3,1,0,0,9.333333333333334,18.487232831816065,55,21,0,8,21.0,21.011901389450696
130,22 oct 2022,46,23,26,1.16,29,44,2,23,23,0,15.333333333333336,10.842303978193726,21,21,0,2,2,0,0,5.111111111111111,8.530265652297441,29,17,0,0,11.5,12.257650672131266
131,23 oct 2022,28,16,20,1.2222222222222223,22,25,3,16,12,0,9.333333333333334,6.79869268479038,15,12,0,1,0,0,0,3.111111111111111,5.60643369401905,15,13,0,0,7.0,7.035623639735143
132,24 oct 2022,74,26,34,1.1875,38,67,7,20,54,0,24.66666666666667,22.291004663067323,18,53,0,2,1,0,0,8.222222222222221,16.764895716796506,72,2,0,0,18.5,30.89902911096075
133,25 oct 2022,318,59,72,1.1527777777777777,83,305,13,140,178,0,106.0,76.54192750817468,137,175,1,3,2,0,0,35.333333333333336,65.12551983157857,114,147,2,55,79.5,55.57202533649462
134,26 oct 2022,265,38,52,1.16,58,247,18,73,182,10,88.33333333333331,71.05084251592109,81,182,0,2,0,0,0,29.444444444444446,59.52237881878472,196,55,0,14,66.25,77.58986725082084
135,27 oct 2022,94,27,36,1.393939393939394,46,87,7,21,73,0,31.33333333333333,30.684777260973487,20,72,1,1,0,0,0,10.444444444444443,22.618139775710567,45,49,0,0,23.5,23.542514733987108
