Fecha,Sistema operativo,Número de vistas de página
27 feb 2019,Android,7
27 feb 2019,Windows,51
28 feb 2019,Windows,57
28 feb 2019,Android,23
1 mar 2019,Linux,4
1 mar 2019,Windows,12
1 mar 2019,Android,33
2 mar 2019,Android,4
3 mar 2019,Windows,13
3 mar 2019,Android,2
4 mar 2019,Android,1
4 mar 2019,Windows,20
5 mar 2019,iOS,1
5 mar 2019,Windows,32
5 mar 2019,Android,3
6 mar 2019,Windows,41
6 mar 2019,iOS,2
6 mar 2019,Android,7
7 mar 2019,Linux,2
7 mar 2019,Windows,39
7 mar 2019,Android,30
8 mar 2019,Windows,107
8 mar 2019,Android,7
9 mar 2019,Windows,55
9 mar 2019,iOS,1
9 mar 2019,Android,9
10 mar 2019,Android,14
10 mar 2019,Windows,44
11 mar 2019,Android,81
11 mar 2019,Linux,2
11 mar 2019,Windows,79
11 mar 2019,iOS,3
12 mar 2019,Windows,42
12 mar 2019,iOS,3
12 mar 2019,Macintosh,3
12 mar 2019,Android,98
13 mar 2019,iOS,1
13 mar 2019,Macintosh,3
13 mar 2019,Android,13
13 mar 2019,Windows,86
14 mar 2019,Windows,75
14 mar 2019,Android,18
15 mar 2019,Linux,3
15 mar 2019,Windows,107
15 mar 2019,Android,19
16 mar 2019,Android,7
16 mar 2019,Windows,6
16 mar 2019,iOS,1
17 mar 2019,Windows,42
17 mar 2019,Android,2
18 mar 2019,Windows,69
18 mar 2019,Android,14
18 mar 2019,iOS,1
19 mar 2019,Android,64
19 mar 2019,Windows,33
19 mar 2019,Macintosh,1
19 mar 2019,iOS,4
20 mar 2019,Linux,1
20 mar 2019,Windows,119
20 mar 2019,Android,39
21 mar 2019,Windows,107
21 mar 2019,iOS,13
21 mar 2019,Android,145
22 mar 2019,Windows,162
22 mar 2019,Linux,42
22 mar 2019,Android,66
22 mar 2019,iOS,6
23 mar 2019,Windows,7
23 mar 2019,Android,21
24 mar 2019,Android,62
24 mar 2019,Windows,35
24 mar 2019,iOS,1
25 mar 2019,Windows,78
25 mar 2019,Android,46
25 mar 2019,iOS,2
25 mar 2019,Linux,60
26 mar 2019,Android,57
26 mar 2019,Linux,11
26 mar 2019,Windows,180
27 mar 2019,Windows,34
27 mar 2019,iOS,5
27 mar 2019,Linux,10
27 mar 2019,Macintosh,5
27 mar 2019,Android,51
28 mar 2019,Macintosh,11
28 mar 2019,Android,50
28 mar 2019,Windows,128
28 mar 2019,iOS,1
29 mar 2019,iOS,2
29 mar 2019,Linux,1
29 mar 2019,Windows,31
29 mar 2019,Android,125
30 mar 2019,Windows,48
