Fecha,Categoría de dispositivo,Número de vistas de página
18 mar 2019,mobile,15
19 mar 2019,desktop,34
19 mar 2019,mobile,68
20 mar 2019,mobile,39
20 mar 2019,desktop,120
21 mar 2019,desktop,107
21 mar 2019,mobile,158
22 mar 2019,mobile,72
22 mar 2019,desktop,204
23 mar 2019,desktop,7
23 mar 2019,mobile,21
24 mar 2019,mobile,29
24 mar 2019,tablet,34
24 mar 2019,desktop,35
25 mar 2019,desktop,138
25 mar 2019,mobile,48
26 mar 2019,mobile,57
26 mar 2019,desktop,191
27 mar 2019,desktop,49
27 mar 2019,mobile,56
28 mar 2019,desktop,139
28 mar 2019,tablet,1
28 mar 2019,mobile,50
29 mar 2019,mobile,127
29 mar 2019,desktop,32
30 mar 2019,mobile,6
30 mar 2019,desktop,48
31 mar 2019,mobile,8
31 mar 2019,tablet,1
31 mar 2019,desktop,41
1 abr 2019,desktop,136
1 abr 2019,mobile,47
2 abr 2019,mobile,29
2 abr 2019,desktop,68
3 abr 2019,mobile,70
3 abr 2019,desktop,239
4 abr 2019,mobile,80
4 abr 2019,desktop,96
5 abr 2019,desktop,350
5 abr 2019,mobile,33
6 abr 2019,desktop,46
6 abr 2019,mobile,39
7 abr 2019,mobile,25
7 abr 2019,desktop,59
8 abr 2019,desktop,96
8 abr 2019,mobile,19
9 abr 2019,desktop,137
9 abr 2019,mobile,102
10 abr 2019,mobile,46
10 abr 2019,desktop,110
11 abr 2019,desktop,148
11 abr 2019,mobile,60
12 abr 2019,desktop,143
12 abr 2019,mobile,66
13 abr 2019,mobile,33
13 abr 2019,desktop,61
14 abr 2019,mobile,15
14 abr 2019,desktop,62
15 abr 2019,desktop,127
15 abr 2019,mobile,59
16 abr 2019,desktop,28
16 abr 2019,mobile,105
17 abr 2019,mobile,65
17 abr 2019,desktop,46
18 abr 2019,desktop,16
18 abr 2019,mobile,32
19 abr 2019,desktop,47
19 abr 2019,mobile,64
20 abr 2019,mobile,9
20 abr 2019,desktop,37
21 abr 2019,desktop,42
21 abr 2019,mobile,10
22 abr 2019,mobile,96
22 abr 2019,desktop,138
