Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
7 ago 2023,188,74,89,1.0786516853932584,96
8 ago 2023,202,62,73,1.1917808219178083,87
9 ago 2023,235,57,78,1.1666666666666667,91
10 ago 2023,171,42,55,1.2363636363636363,68
11 ago 2023,121,26,36,1.0833333333333333,39
12 ago 2023,88,24,30,1.1,33
13 ago 2023,70,19,22,1.1363636363636365,25
14 ago 2023,116,39,47,1.148936170212766,54
15 ago 2023,75,35,42,1.1666666666666667,49
16 ago 2023,93,43,51,1.0980392156862746,56
17 ago 2023,125,37,43,1.0930232558139534,47
18 ago 2023,118,33,37,1.162162162162162,43
19 ago 2023,56,29,33,1.0909090909090908,36
20 ago 2023,42,17,22,1,22
21 ago 2023,160,27,35,1.1142857142857143,39
22 ago 2023,146,43,56,1.125,63
23 ago 2023,132,39,51,1.0588235294117647,54
24 ago 2023,118,47,56,1.1071428571428572,62
25 ago 2023,92,41,56,1.125,63
26 ago 2023,49,21,31,1.032258064516129,32
27 ago 2023,50,19,29,1.0689655172413792,31
28 ago 2023,241,53,70,1.2428571428571429,87
29 ago 2023,242,68,84,1.1904761904761905,100
30 ago 2023,586,95,113,1.2035398230088497,136
31 ago 2023,354,95,130,1.1307692307692307,147
1 sept 2023,363,62,87,1.1724137931034482,102
2 sept 2023,218,36,46,1.0869565217391304,50
3 sept 2023,110,50,57,1.0350877192982457,59
4 sept 2023,267,78,95,1.263157894736842,120
5 sept 2023,278,66,82,1.0731707317073171,88
6 sept 2023,203,41,61,1.2131147540983607,74
7 sept 2023,155,42,60,1.2,72
8 sept 2023,254,34,49,1.183673469387755,58
9 sept 2023,72,22,31,1.032258064516129,32
10 sept 2023,121,30,36,1.0277777777777777,37
11 sept 2023,132,43,54,1.0740740740740742,58
12 sept 2023,129,55,68,1.1029411764705883,75
13 sept 2023,171,46,62,1.1935483870967742,74
14 sept 2023,140,48,60,1.0833333333333333,65
15 sept 2023,116,30,40,1.2,48
16 sept 2023,106,40,49,1.0612244897959184,52
17 sept 2023,82,42,44,1,44
18 sept 2023,124,45,58,1.1551724137931034,67
19 sept 2023,117,40,52,1.1538461538461537,60
20 sept 2023,232,51,66,1.2424242424242424,82
21 sept 2023,135,47,64,1.046875,67
22 sept 2023,239,40,51,1.1764705882352942,60
23 sept 2023,87,26,31,1.1290322580645162,35
24 sept 2023,89,33,38,1.0789473684210527,41
25 sept 2023,162,49,62,1.2741935483870968,79
26 sept 2023,170,46,61,1.1311475409836065,69
27 sept 2023,143,40,48,1.25,60
28 sept 2023,162,44,56,1.1071428571428572,62
29 sept 2023,218,47,57,1.263157894736842,72
30 sept 2023,46,32,39,1.1025641025641026,43
1 oct 2023,58,30,35,1.0285714285714285,36
2 oct 2023,88,40,48,1.1041666666666667,53
3 oct 2023,103,44,58,1.1379310344827587,66
4 oct 2023,148,61,73,1.1232876712328768,82
