,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
79,26 dic 2018,10,4,7,1.0,7,5,5,8,2,0,3.333333333333333,3.39934634239519,1,1,1,7,0,0,0,0,0,1.0,2.04939015319192,5,4,0,1,2.5,2.0615528128088303
80,27 dic 2018,44,6,7,1.0,7,43,1,6,38,0,14.666666666666664,16.679994670929073,0,38,0,6,0,0,0,0,0,4.4,11.341957503006258,32,12,0,0,11.0,13.07669683062202
81,28 dic 2018,12,4,4,1.0,4,12,0,2,10,0,4.0,4.320493798938574,0,10,0,2,0,0,0,0,0,1.2,2.9933259094191533,0,12,0,0,3.0,5.196152422706632
82,29 dic 2018,10,3,5,1.0,5,9,1,2,8,0,3.333333333333333,3.39934634239519,0,1,7,2,0,0,0,0,0,1.0,2.0976176963403037,2,8,0,0,2.5,3.2787192621509997
83,30 dic 2018,26,1,2,1.0,2,26,0,1,25,0,8.666666666666666,11.556623882239812,0,25,0,1,0,0,0,0,0,2.6,7.472616676907762,0,26,0,0,6.5,11.258330249197702
84,31 dic 2018,1,0,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,0,1,0,0,0,0,0,0,0,0.1,0.30000000000000004,0,1,0,0,0.25,0.4330127018922193
85,1 ene 2019,11,1,1,1.0,1,11,0,11,0,0,3.6666666666666665,5.1854497287013475,0,0,0,11,0,0,0,0,0,1.1,3.2999999999999994,0,11,0,0,2.75,4.763139720814412
86,2 ene 2019,9,3,5,1.0,5,7,2,8,1,0,3.0,3.559026084010437,1,1,0,7,0,0,0,0,0,0.9,2.0712315177207983,6,3,0,0,2.25,2.48746859276655
87,3 ene 2019,3,1,2,1.0,2,1,2,0,3,0,1.0,1.4142135623730951,0,2,1,0,0,0,0,0,0,0.3,0.6403124237432848,0,3,0,0,0.75,1.299038105676658
88,4 ene 2019,10,8,8,1.0,8,9,1,7,3,0,3.333333333333333,2.867441755680876,0,2,1,7,0,0,0,0,0,1.0,2.0976176963403037,1,9,0,0,2.5,3.7749172176353754
89,5 ene 2019,4,1,2,1.0,2,4,0,3,1,0,1.3333333333333333,1.247219128924647,0,1,0,3,0,0,0,0,0,0.4,0.916515138991168,0,4,0,0,1.0,1.7320508075688772
90,6 ene 2019,8,1,2,1.0,2,8,0,1,7,0,2.6666666666666665,3.091206165165235,0,7,0,1,0,0,0,0,0,0.8,2.08806130178211,0,8,0,0,2.0,3.4641016151377544
91,7 ene 2019,5,2,2,1.0,2,3,2,5,0,0,1.6666666666666667,2.3570226039551585,0,0,0,5,0,0,0,0,0,0.5,1.5,0,5,0,0,1.25,2.165063509461097
92,8 ene 2019,26,3,6,1.1666666666666667,7,21,5,24,2,0,8.666666666666666,10.873004286866728,0,2,0,23,1,0,0,0,0,2.6,6.829348431585549,1,25,0,0,6.5,10.688779163215974
93,9 ene 2019,10,2,3,1.0,3,10,0,10,0,0,3.333333333333333,4.714045207910317,0,0,0,3,7,0,0,0,0,1.0,2.1908902300206643,0,10,0,0,2.5,4.330127018922194
