Fecha,Categoría de dispositivo,Vistas
20 mar 2023,mobile,165
21 mar 2023,desktop,363
21 mar 2023,mobile,93
22 mar 2023,mobile,49
22 mar 2023,desktop,17
25 mar 2023,desktop,0
26 mar 2023,desktop,74
26 mar 2023,mobile,1
26 mar 2023,tablet,1
27 mar 2023,desktop,240
27 mar 2023,mobile,118
27 mar 2023,tablet,1
28 mar 2023,desktop,171
28 mar 2023,mobile,67
28 mar 2023,tablet,1
29 mar 2023,desktop,364
29 mar 2023,mobile,101
30 mar 2023,desktop,184
30 mar 2023,mobile,70
31 mar 2023,desktop,76
31 mar 2023,mobile,29
1 abr 2023,desktop,86
1 abr 2023,mobile,82
2 abr 2023,mobile,47
2 abr 2023,desktop,43
3 abr 2023,desktop,157
3 abr 2023,mobile,59
4 abr 2023,desktop,167
4 abr 2023,mobile,45
4 abr 2023,tablet,1
5 abr 2023,desktop,261
5 abr 2023,mobile,19
6 abr 2023,mobile,47
6 abr 2023,desktop,41
7 abr 2023,desktop,35
7 abr 2023,mobile,16
8 abr 2023,desktop,48
8 abr 2023,mobile,38
8 abr 2023,tablet,1
9 abr 2023,tablet,2
9 abr 2023,mobile,22
9 abr 2023,desktop,65
10 abr 2023,desktop,238
10 abr 2023,mobile,55
11 abr 2023,desktop,184
11 abr 2023,mobile,60
12 abr 2023,mobile,99
12 abr 2023,desktop,78
13 abr 2023,desktop,298
13 abr 2023,mobile,57
13 abr 2023,tablet,1
14 abr 2023,desktop,623
14 abr 2023,mobile,78
15 abr 2023,mobile,25
15 abr 2023,desktop,19
16 abr 2023,mobile,83
16 abr 2023,desktop,38
17 abr 2023,desktop,548
17 abr 2023,mobile,92
18 abr 2023,desktop,332
18 abr 2023,mobile,73
19 abr 2023,desktop,208
19 abr 2023,mobile,62
20 abr 2023,desktop,184
20 abr 2023,mobile,84
20 abr 2023,tablet,2
21 abr 2023,desktop,541
21 abr 2023,mobile,102
22 abr 2023,desktop,64
22 abr 2023,mobile,45
23 abr 2023,mobile,80
23 abr 2023,desktop,24
23 abr 2023,tablet,1
24 abr 2023,desktop,202
24 abr 2023,mobile,70
25 abr 2023,mobile,147
25 abr 2023,desktop,139
26 abr 2023,desktop,140
26 abr 2023,mobile,62
27 abr 2023,desktop,221
27 abr 2023,mobile,55
28 abr 2023,desktop,102
28 abr 2023,mobile,67
29 abr 2023,mobile,48
29 abr 2023,desktop,31
30 abr 2023,mobile,57
30 abr 2023,desktop,46
30 abr 2023,tablet,1
1 may 2023,mobile,88
1 may 2023,desktop,64
2 may 2023,desktop,116
2 may 2023,mobile,31
3 may 2023,desktop,77
3 may 2023,mobile,54
4 may 2023,desktop,126
4 may 2023,mobile,41
4 may 2023,tablet,4
5 may 2023,desktop,165
5 may 2023,mobile,78
6 may 2023,desktop,37
6 may 2023,mobile,16
6 may 2023,tablet,1
7 may 2023,desktop,66
7 may 2023,mobile,24
7 may 2023,tablet,1
8 may 2023,desktop,85
8 may 2023,mobile,37
9 may 2023,desktop,51
9 may 2023,mobile,35
10 may 2023,desktop,89
10 may 2023,mobile,33
10 may 2023,tablet,2
11 may 2023,desktop,87
11 may 2023,mobile,35
12 may 2023,mobile,73
12 may 2023,desktop,46
13 may 2023,desktop,33
13 may 2023,mobile,11
14 may 2023,desktop,126
14 may 2023,mobile,52
14 may 2023,tablet,1
15 may 2023,mobile,130
15 may 2023,desktop,64
16 may 2023,desktop,111
16 may 2023,mobile,78
17 may 2023,desktop,225
17 may 2023,mobile,37
18 may 2023,desktop,140
18 may 2023,mobile,84
19 may 2023,desktop,129
19 may 2023,mobile,57
20 may 2023,mobile,53
20 may 2023,desktop,23
21 may 2023,mobile,42
21 may 2023,desktop,37
22 may 2023,desktop,133
22 may 2023,mobile,69
23 may 2023,mobile,80
23 may 2023,desktop,78
24 may 2023,desktop,72
24 may 2023,mobile,43
25 may 2023,desktop,119
25 may 2023,mobile,50
26 may 2023,desktop,113
26 may 2023,mobile,69
27 may 2023,desktop,69
27 may 2023,mobile,27
28 may 2023,desktop,60
28 may 2023,mobile,41
29 may 2023,desktop,194
29 may 2023,mobile,39
29 may 2023,tablet,5
30 may 2023,mobile,73
30 may 2023,desktop,72
31 may 2023,desktop,238
31 may 2023,mobile,54
31 may 2023,tablet,4
1 jun 2023,desktop,160
1 jun 2023,mobile,40
1 jun 2023,tablet,2
2 jun 2023,desktop,121
2 jun 2023,mobile,22
3 jun 2023,mobile,48
3 jun 2023,desktop,22
4 jun 2023,mobile,40
4 jun 2023,desktop,25
5 jun 2023,desktop,282
5 jun 2023,mobile,31
6 jun 2023,desktop,101
6 jun 2023,mobile,72
7 jun 2023,desktop,94
7 jun 2023,mobile,44
8 jun 2023,desktop,241
8 jun 2023,mobile,62
9 jun 2023,desktop,78
9 jun 2023,mobile,42
10 jun 2023,desktop,40
10 jun 2023,mobile,18
11 jun 2023,desktop,49
11 jun 2023,mobile,15
12 jun 2023,desktop,103
12 jun 2023,mobile,41
13 jun 2023,desktop,47
13 jun 2023,mobile,38
13 jun 2023,tablet,3
14 jun 2023,desktop,107
14 jun 2023,mobile,36
15 jun 2023,desktop,108
15 jun 2023,mobile,51
16 jun 2023,desktop,46
16 jun 2023,mobile,16
17 jun 2023,desktop,27
17 jun 2023,mobile,18
18 jun 2023,desktop,51
18 jun 2023,mobile,10
19 jun 2023,desktop,38
19 jun 2023,mobile,9
19 jun 2023,tablet,1
20 jun 2023,desktop,70
20 jun 2023,mobile,22
20 jun 2023,tablet,1
21 jun 2023,desktop,79
21 jun 2023,mobile,45
22 jun 2023,mobile,65
22 jun 2023,desktop,63
23 jun 2023,desktop,95
23 jun 2023,mobile,59
24 jun 2023,desktop,28
24 jun 2023,mobile,28
25 jun 2023,desktop,138
25 jun 2023,mobile,47
26 jun 2023,desktop,97
26 jun 2023,mobile,25
27 jun 2023,desktop,72
27 jun 2023,mobile,44
28 jun 2023,desktop,143
28 jun 2023,mobile,37
29 jun 2023,desktop,153
29 jun 2023,mobile,42
29 jun 2023,tablet,2
30 jun 2023,desktop,96
30 jun 2023,mobile,69
1 jul 2023,desktop,22
1 jul 2023,mobile,12
2 jul 2023,desktop,26
2 jul 2023,mobile,20
3 jul 2023,desktop,99
3 jul 2023,mobile,27
4 jul 2023,desktop,137
4 jul 2023,mobile,32
4 jul 2023,tablet,1
5 jul 2023,mobile,52
5 jul 2023,desktop,48
6 jul 2023,desktop,81
6 jul 2023,mobile,29
7 jul 2023,desktop,90
7 jul 2023,mobile,49
8 jul 2023,mobile,38
8 jul 2023,desktop,28
9 jul 2023,mobile,49
9 jul 2023,desktop,37
9 jul 2023,tablet,1
10 jul 2023,desktop,46
10 jul 2023,mobile,32
10 jul 2023,tablet,1
11 jul 2023,desktop,43
11 jul 2023,mobile,12
12 jul 2023,desktop,50
12 jul 2023,mobile,29
13 jul 2023,mobile,66
13 jul 2023,desktop,26
14 jul 2023,desktop,91
14 jul 2023,mobile,13
15 jul 2023,desktop,12
15 jul 2023,mobile,10
16 jul 2023,desktop,17
16 jul 2023,mobile,9
17 jul 2023,desktop,112
17 jul 2023,mobile,40
17 jul 2023,tablet,1
18 jul 2023,mobile,57
18 jul 2023,desktop,51
18 jul 2023,tablet,2
19 jul 2023,desktop,24
19 jul 2023,mobile,23
19 jul 2023,tablet,2
20 jul 2023,desktop,12
20 jul 2023,mobile,5
21 jul 2023,mobile,35
21 jul 2023,desktop,31
22 jul 2023,mobile,45
22 jul 2023,desktop,23
23 jul 2023,desktop,44
23 jul 2023,mobile,19
24 jul 2023,mobile,95
24 jul 2023,desktop,79
25 jul 2023,desktop,74
25 jul 2023,mobile,17
26 jul 2023,desktop,165
26 jul 2023,mobile,75
26 jul 2023,tablet,1
27 jul 2023,desktop,133
27 jul 2023,mobile,71
28 jul 2023,desktop,94
28 jul 2023,mobile,53
28 jul 2023,tablet,1
29 jul 2023,desktop,79
29 jul 2023,mobile,9
29 jul 2023,tablet,1
30 jul 2023,desktop,15
30 jul 2023,mobile,15
31 jul 2023,desktop,106
31 jul 2023,mobile,69
1 ago 2023,desktop,137
1 ago 2023,mobile,72
1 ago 2023,tablet,2
2 ago 2023,desktop,234
2 ago 2023,mobile,80
2 ago 2023,tablet,4
3 ago 2023,desktop,99
3 ago 2023,mobile,46
3 ago 2023,tablet,1
4 ago 2023,mobile,49
4 ago 2023,desktop,30
5 ago 2023,mobile,60
5 ago 2023,desktop,2
6 ago 2023,desktop,56
6 ago 2023,mobile,26
7 ago 2023,mobile,107
7 ago 2023,desktop,71
8 ago 2023,desktop,137
8 ago 2023,mobile,55
9 ago 2023,desktop,162
9 ago 2023,mobile,67
10 ago 2023,desktop,101
10 ago 2023,mobile,61
11 ago 2023,desktop,66
11 ago 2023,mobile,51
12 ago 2023,desktop,56
12 ago 2023,mobile,29
13 ago 2023,mobile,56
13 ago 2023,desktop,11
13 ago 2023,tablet,1
14 ago 2023,desktop,83
14 ago 2023,mobile,30
14 ago 2023,tablet,3
15 ago 2023,desktop,36
15 ago 2023,mobile,35
16 ago 2023,desktop,63
16 ago 2023,mobile,27
16 ago 2023,tablet,1
17 ago 2023,desktop,88
17 ago 2023,mobile,35
18 ago 2023,desktop,97
18 ago 2023,mobile,21
19 ago 2023,desktop,35
19 ago 2023,mobile,21
20 ago 2023,mobile,28
20 ago 2023,desktop,18
21 ago 2023,mobile,113
21 ago 2023,desktop,47
22 ago 2023,mobile,86
22 ago 2023,desktop,57
23 ago 2023,desktop,90
23 ago 2023,mobile,39
24 ago 2023,desktop,74
24 ago 2023,mobile,43
25 ago 2023,desktop,61
25 ago 2023,mobile,30
26 ago 2023,desktop,30
26 ago 2023,mobile,18
27 ago 2023,mobile,36
27 ago 2023,desktop,15
28 ago 2023,desktop,188
28 ago 2023,mobile,55
29 ago 2023,desktop,169
29 ago 2023,mobile,71
29 ago 2023,tablet,1
30 ago 2023,desktop,316
30 ago 2023,mobile,260
31 ago 2023,desktop,255
31 ago 2023,mobile,89
1 sept 2023,desktop,269
1 sept 2023,mobile,86
2 sept 2023,desktop,123
2 sept 2023,mobile,94
3 sept 2023,desktop,54
3 sept 2023,mobile,45
3 sept 2023,smart tv,2
4 sept 2023,mobile,132
4 sept 2023,desktop,126
4 sept 2023,tablet,5
5 sept 2023,desktop,208
5 sept 2023,mobile,63
6 sept 2023,desktop,164
6 sept 2023,mobile,35
7 sept 2023,desktop,120
7 sept 2023,mobile,29
8 sept 2023,desktop,189
8 sept 2023,mobile,63
9 sept 2023,desktop,37
9 sept 2023,mobile,32
10 sept 2023,desktop,98
10 sept 2023,mobile,20
11 sept 2023,desktop,94
11 sept 2023,mobile,27
12 sept 2023,desktop,74
12 sept 2023,mobile,49
12 sept 2023,tablet,2
