Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
6 ago 2023,82,22,26,1.12,28
7 ago 2023,178,66,84,1.2179487179487178,95
8 ago 2023,192,51,68,1.3492063492063493,85
9 ago 2023,229,47,76,1.3582089552238805,91
10 ago 2023,162,35,51,1.5,72
11 ago 2023,117,24,36,1.2058823529411764,41
12 ago 2023,85,21,28,1.28,32
13 ago 2023,68,18,21,1.1904761904761905,25
14 ago 2023,116,39,50,1.3777777777777778,62
15 ago 2023,71,30,38,1.3333333333333333,48
16 ago 2023,91,39,51,1.288888888888889,58
17 ago 2023,123,35,43,1.1428571428571428,48
18 ago 2023,118,29,36,1.2571428571428571,44
19 ago 2023,56,28,33,1.2333333333333334,37
20 ago 2023,46,17,23,1.0454545454545454,23
21 ago 2023,160,26,35,1.303030303030303,43
22 ago 2023,143,42,55,1.2745098039215685,65
23 ago 2023,129,36,50,1.25,55
24 ago 2023,117,46,56,1.2115384615384615,63
25 ago 2023,91,39,56,1.2884615384615385,67
26 ago 2023,48,20,31,1.3333333333333333,36
27 ago 2023,51,19,29,1.2222222222222223,33
28 ago 2023,243,49,67,1.492063492063492,94
29 ago 2023,241,64,81,1.3333333333333333,104
30 ago 2023,576,86,107,1.3398058252427185,138
31 ago 2023,344,86,124,1.2654867256637168,143
1 sept 2023,355,53,82,1.4054054054054055,104
2 sept 2023,217,35,45,1.1904761904761905,50
3 sept 2023,101,43,50,1.0833333333333333,52
4 sept 2023,263,71,91,1.5,126
5 sept 2023,271,59,79,1.2297297297297298,91
6 sept 2023,199,36,57,1.4615384615384615,76
7 sept 2023,149,36,59,1.4,77
8 sept 2023,252,31,48,1.2173913043478262,56
9 sept 2023,69,19,29,1.24,31
10 sept 2023,118,27,34,1.1612903225806452,36
11 sept 2023,121,32,47,1.3488372093023255,58
12 sept 2023,125,51,68,1.3114754098360655,80
13 sept 2023,168,40,60,1.3703703703703705,74
14 sept 2023,133,41,54,1.28,64
15 sept 2023,112,26,36,1.4242424242424243,47
16 sept 2023,94,31,41,1.1891891891891893,44
17 sept 2023,73,33,37,1.1176470588235294,38
18 sept 2023,120,40,55,1.3076923076923077,68
19 sept 2023,108,31,43,1.475,59
20 sept 2023,223,42,59,1.3448275862068966,78
21 sept 2023,130,44,62,1.15,69
22 sept 2023,240,38,52,1.24,62
23 sept 2023,80,19,24,1.3043478260869565,30
24 sept 2023,81,24,32,1.2413793103448276,36
25 sept 2023,154,46,60,1.490909090909091,82
26 sept 2023,166,45,62,1.25,75
27 sept 2023,126,33,41,1.3414634146341464,55
28 sept 2023,146,36,50,1.2222222222222223,55
29 sept 2023,210,41,55,1.3653846153846154,71
30 sept 2023,38,24,31,1.2592592592592593,34
1 oct 2023,53,25,30,1.1428571428571428,32
2 oct 2023,83,34,45,1.2045454545454546,53
3 oct 2023,102,41,55,1.2692307692307692,66
4 oct 2023,143,56,70,1.161764705882353,79
5 oct 2023,167,55,65,1.2258064516129032,76
6 oct 2023,82,38,47,1.0869565217391304,50
7 oct 2023,130,26,33,1.2258064516129032,38
8 oct 2023,88,33,38,1.135135135135135,42
9 oct 2023,109,46,56,1.2037037037037037,65
10 oct 2023,175,39,52,1.24,62
11 oct 2023,149,39,52,1.3137254901960784,67
12 oct 2023,104,37,50,1.2727272727272727,56
13 oct 2023,65,11,16,1.2857142857142858,18
14 oct 2023,51,14,19,1.2777777777777777,23
15 oct 2023,35,20,23,1.3333333333333333,28
16 oct 2023,284,32,38,1.25,45
17 oct 2023,342,46,61,1.11864406779661,66
18 oct 2023,140,43,60,1.1964285714285714,67
19 oct 2023,173,45,56,1.2592592592592593,68
20 oct 2023,110,32,48,1.372093023255814,59
21 oct 2023,43,26,31,1.1724137931034482,34
22 oct 2023,36,25,31,1.1666666666666667,35
23 oct 2023,184,45,56,1.2264150943396226,65
24 oct 2023,154,33,51,1.2448979591836735,61
25 oct 2023,328,63,74,1.162162162162162,86
26 oct 2023,103,39,49,1.2244897959183674,60
27 oct 2023,160,26,39,1.2,42
28 oct 2023,88,19,29,1.2222222222222223,33
29 oct 2023,78,30,39,1.2162162162162162,45
30 oct 2023,156,46,64,1.293103448275862,75
31 oct 2023,136,42,59,1.3272727272727274,73
1 nov 2023,122,30,46,1.2325581395348837,53
2 nov 2023,209,66,82,1.175,94
3 nov 2023,133,32,49,1.2,54
4 nov 2023,48,28,36,1.1428571428571428,40
5 nov 2023,40,25,30,1,30
6 nov 2023,190,44,56,1.2222222222222223,66
7 nov 2023,274,54,67,1.2153846153846153,79
8 nov 2023,158,47,63,1.2166666666666666,73
9 nov 2023,331,102,121,1.271186440677966,150
10 nov 2023,118,45,60,1.2452830188679245,66
11 nov 2023,78,29,36,1.25,40
12 nov 2023,92,34,44,1.175,47
13 nov 2023,129,40,55,1.1923076923076923,62
14 nov 2023,171,54,68,1.196969696969697,79
15 nov 2023,130,41,58,1.2142857142857142,68
16 nov 2023,100,39,54,1.4375,69
17 nov 2023,122,27,47,1.3902439024390243,57
18 nov 2023,79,25,37,1.303030303030303,43
19 nov 2023,90,28,32,1.064516129032258,33
