Fecha,Sistema operativo,Vistas
4 sept 2022,Windows,28
4 sept 2022,Android,15
4 sept 2022,Macintosh,0
5 sept 2022,Windows,138
5 sept 2022,Android,48
5 sept 2022,Macintosh,4
5 sept 2022,iOS,2
6 sept 2022,Windows,52
6 sept 2022,Android,43
6 sept 2022,iOS,3
7 sept 2022,Windows,86
7 sept 2022,Android,41
7 sept 2022,iOS,10
7 sept 2022,Macintosh,7
7 sept 2022,Linux,0
8 sept 2022,Windows,37
8 sept 2022,Android,16
8 sept 2022,Macintosh,4
8 sept 2022,Linux,3
8 sept 2022,Playstation 4,2
8 sept 2022,iOS,1
9 sept 2022,Android,25
9 sept 2022,Windows,21
9 sept 2022,iOS,2
10 sept 2022,Windows,37
10 sept 2022,Android,19
10 sept 2022,iOS,1
11 sept 2022,Android,46
11 sept 2022,Windows,41
11 sept 2022,Macintosh,2
11 sept 2022,iOS,2
11 sept 2022,Linux,0
12 sept 2022,Windows,92
12 sept 2022,Android,30
12 sept 2022,Macintosh,2
12 sept 2022,Linux,1
13 sept 2022,Windows,76
13 sept 2022,Android,23
13 sept 2022,iOS,12
13 sept 2022,Macintosh,10
14 sept 2022,Windows,75
14 sept 2022,Android,63
14 sept 2022,iOS,4
14 sept 2022,Macintosh,1
15 sept 2022,Android,63
15 sept 2022,Windows,59
15 sept 2022,Linux,1
15 sept 2022,iOS,1
16 sept 2022,Windows,50
16 sept 2022,Android,18
16 sept 2022,iOS,2
17 sept 2022,Windows,101
17 sept 2022,Android,12
17 sept 2022,Macintosh,3
18 sept 2022,Windows,21
18 sept 2022,Android,6
18 sept 2022,Linux,5
18 sept 2022,iOS,2
18 sept 2022,Macintosh,1
19 sept 2022,Windows,71
19 sept 2022,Android,29
19 sept 2022,Linux,8
19 sept 2022,Macintosh,1
20 sept 2022,Windows,61
20 sept 2022,Android,32
20 sept 2022,Linux,21
20 sept 2022,Macintosh,3
20 sept 2022,iOS,1
21 sept 2022,Windows,61
21 sept 2022,Android,20
21 sept 2022,iOS,6
22 sept 2022,Windows,39
22 sept 2022,Android,17
22 sept 2022,iOS,4
22 sept 2022,Linux,1
22 sept 2022,Macintosh,1
23 sept 2022,Windows,28
23 sept 2022,Android,15
23 sept 2022,iOS,3
24 sept 2022,Android,26
24 sept 2022,Windows,18
24 sept 2022,iOS,1
25 sept 2022,Windows,34
25 sept 2022,Android,31
25 sept 2022,Macintosh,4
25 sept 2022,Linux,3
25 sept 2022,iOS,1
26 sept 2022,Windows,70
26 sept 2022,Android,33
26 sept 2022,Linux,4
26 sept 2022,iOS,1
27 sept 2022,Windows,95
27 sept 2022,Android,29
27 sept 2022,Macintosh,12
28 sept 2022,Windows,208
28 sept 2022,Android,32
28 sept 2022,iOS,5
28 sept 2022,Linux,2
28 sept 2022,Macintosh,1
29 sept 2022,Windows,116
29 sept 2022,Android,43
29 sept 2022,Linux,13
29 sept 2022,Macintosh,1
30 sept 2022,Android,40
30 sept 2022,Windows,39
30 sept 2022,Macintosh,7
30 sept 2022,Linux,6
1 oct 2022,Android,40
1 oct 2022,Windows,12
1 oct 2022,iOS,1
2 oct 2022,Windows,17
2 oct 2022,Android,13
2 oct 2022,Macintosh,1
3 oct 2022,Android,53
3 oct 2022,Windows,45
3 oct 2022,Macintosh,1
3 oct 2022,iOS,1
4 oct 2022,Windows,46
4 oct 2022,Android,40
4 oct 2022,iOS,4
4 oct 2022,Linux,0
5 oct 2022,Windows,87
5 oct 2022,Android,20
6 oct 2022,Windows,51
6 oct 2022,Android,40
6 oct 2022,Macintosh,9
6 oct 2022,iOS,2
6 oct 2022,Linux,0
7 oct 2022,Android,23
7 oct 2022,Windows,16
7 oct 2022,iOS,4
7 oct 2022,Linux,0
8 oct 2022,Windows,0
9 oct 2022,Windows,3
9 oct 2022,iOS,1
10 oct 2022,Windows,47
10 oct 2022,Linux,23
10 oct 2022,Android,17
10 oct 2022,Macintosh,10
10 oct 2022,iOS,6
11 oct 2022,Windows,69
11 oct 2022,Android,40
11 oct 2022,Linux,6
11 oct 2022,iOS,2
11 oct 2022,Macintosh,1
12 oct 2022,Windows,55
12 oct 2022,Android,35
12 oct 2022,iOS,3
12 oct 2022,Macintosh,1
13 oct 2022,Windows,63
13 oct 2022,Android,13
13 oct 2022,Macintosh,3
13 oct 2022,Chrome OS,1
13 oct 2022,iOS,1
14 oct 2022,Windows,50
14 oct 2022,Android,37
14 oct 2022,Macintosh,2
14 oct 2022,iOS,1
14 oct 2022,Linux,0
15 oct 2022,Windows,31
15 oct 2022,Android,9
15 oct 2022,iOS,2
16 oct 2022,Windows,10
16 oct 2022,Android,6
16 oct 2022,Macintosh,2
16 oct 2022,iOS,2
17 oct 2022,Windows,63
17 oct 2022,Android,19
17 oct 2022,iOS,2
17 oct 2022,Linux,1
17 oct 2022,Macintosh,1
18 oct 2022,Windows,77
18 oct 2022,Android,22
18 oct 2022,Macintosh,2
19 oct 2022,Windows,88
19 oct 2022,Android,16
19 oct 2022,iOS,7
19 oct 2022,Linux,1
20 oct 2022,Windows,73
20 oct 2022,Android,50
20 oct 2022,iOS,8
20 oct 2022,Macintosh,1
20 oct 2022,Linux,0
21 oct 2022,Windows,60
21 oct 2022,Android,15
21 oct 2022,Macintosh,5
21 oct 2022,iOS,3
21 oct 2022,Linux,1
22 oct 2022,Android,21
22 oct 2022,Windows,21
22 oct 2022,Linux,2
22 oct 2022,iOS,2
23 oct 2022,Android,15
23 oct 2022,Windows,12
23 oct 2022,iOS,1
24 oct 2022,Windows,53
24 oct 2022,Android,18
24 oct 2022,iOS,2
24 oct 2022,Linux,1
25 oct 2022,Windows,175
25 oct 2022,Android,137
25 oct 2022,iOS,3
25 oct 2022,Linux,2
25 oct 2022,Macintosh,1
26 oct 2022,Windows,182
26 oct 2022,Android,81
26 oct 2022,iOS,2
27 oct 2022,Windows,72
27 oct 2022,Android,20
27 oct 2022,Macintosh,1
27 oct 2022,iOS,1
28 oct 2022,Android,43
28 oct 2022,Windows,20
28 oct 2022,iOS,2
28 oct 2022,Macintosh,1
29 oct 2022,Android,92
29 oct 2022,Windows,12
29 oct 2022,Linux,4
29 oct 2022,iOS,1
30 oct 2022,Windows,15
30 oct 2022,Android,10
30 oct 2022,Linux,2
30 oct 2022,iOS,2
31 oct 2022,Windows,4
31 oct 2022,Android,1
31 oct 2022,iOS,1
1 nov 2022,Windows,43
1 nov 2022,Android,7
1 nov 2022,Linux,4
1 nov 2022,Macintosh,2
2 nov 2022,Windows,71
2 nov 2022,Android,18
2 nov 2022,Macintosh,3
2 nov 2022,iOS,1
3 nov 2022,Windows,45
3 nov 2022,Android,17
3 nov 2022,Linux,1
3 nov 2022,iOS,1
4 nov 2022,Windows,56
4 nov 2022,Android,38
4 nov 2022,iOS,3
4 nov 2022,Linux,2
5 nov 2022,Windows,53
5 nov 2022,Android,28
5 nov 2022,Linux,2
5 nov 2022,Macintosh,2
6 nov 2022,Android,12
6 nov 2022,Windows,5
6 nov 2022,iOS,2
7 nov 2022,Windows,102
7 nov 2022,Android,25
7 nov 2022,Linux,2
7 nov 2022,Macintosh,1
8 nov 2022,Windows,91
8 nov 2022,Android,30
8 nov 2022,iOS,1
9 nov 2022,Windows,128
9 nov 2022,Android,35
9 nov 2022,Linux,3
10 nov 2022,Windows,53
10 nov 2022,Android,27
10 nov 2022,Macintosh,3
10 nov 2022,Linux,2
10 nov 2022,iOS,1
11 nov 2022,Windows,58
11 nov 2022,Android,48
11 nov 2022,Linux,1
12 nov 2022,Windows,35
12 nov 2022,Android,18
12 nov 2022,Linux,2
12 nov 2022,Macintosh,1
12 nov 2022,iOS,1
13 nov 2022,Windows,20
13 nov 2022,Android,17
13 nov 2022,Macintosh,4
13 nov 2022,iOS,1
14 nov 2022,Windows,90
14 nov 2022,Android,36
14 nov 2022,iOS,10
14 nov 2022,Linux,3
14 nov 2022,Macintosh,1
15 nov 2022,Windows,92
15 nov 2022,Android,59
15 nov 2022,Macintosh,10
15 nov 2022,iOS,2
16 nov 2022,Windows,80
16 nov 2022,Android,39
16 nov 2022,Macintosh,1
17 nov 2022,Windows,82
17 nov 2022,Linux,13
17 nov 2022,Android,9
17 nov 2022,Macintosh,1
17 nov 2022,iOS,1
18 nov 2022,Windows,50
18 nov 2022,Android,46
18 nov 2022,Macintosh,6
18 nov 2022,Linux,3
18 nov 2022,iOS,1
19 nov 2022,Android,1
23 nov 2022,Windows,94
23 nov 2022,Android,31
23 nov 2022,Linux,5
23 nov 2022,iOS,2
24 nov 2022,Windows,61
24 nov 2022,Android,22
24 nov 2022,Macintosh,3
24 nov 2022,iOS,3
25 nov 2022,Android,26
25 nov 2022,Windows,21
25 nov 2022,iOS,5
25 nov 2022,Macintosh,2
25 nov 2022,Linux,1
26 nov 2022,Android,13
26 nov 2022,Windows,11
26 nov 2022,Macintosh,1
27 nov 2022,Android,16
27 nov 2022,Windows,12
28 nov 2022,Windows,65
28 nov 2022,Android,15
28 nov 2022,Macintosh,15
28 nov 2022,iOS,1
29 nov 2022,Windows,177
29 nov 2022,Android,18
29 nov 2022,iOS,2
29 nov 2022,Linux,1
29 nov 2022,Macintosh,0
30 nov 2022,Windows,135
30 nov 2022,Android,7
30 nov 2022,Macintosh,1
30 nov 2022,Linux,0
1 dic 2022,Windows,123
1 dic 2022,Android,19
1 dic 2022,Macintosh,14
1 dic 2022,Linux,2
2 dic 2022,Android,43
2 dic 2022,Windows,33
2 dic 2022,Linux,18
2 dic 2022,Macintosh,14
2 dic 2022,iOS,2
3 dic 2022,Android,15
3 dic 2022,Windows,8
3 dic 2022,Macintosh,1
3 dic 2022,iOS,1
4 dic 2022,Android,31
4 dic 2022,Windows,24
4 dic 2022,Macintosh,1
5 dic 2022,Windows,128
5 dic 2022,Android,21
5 dic 2022,iOS,4
