Fecha,Grupo de canales predeterminado de la sesión,Vistas
16 dic 2022,Organic Search,90
16 dic 2022,Direct,9
16 dic 2022,Organic Social,6
16 dic 2022,Referral,1
17 dic 2022,Direct,17
17 dic 2022,Organic Search,13
17 dic 2022,Organic Video,1
18 dic 2022,Organic Search,9
18 dic 2022,Direct,2
19 dic 2022,Direct,86
19 dic 2022,Organic Search,25
19 dic 2022,Unassigned,0
20 dic 2022,Direct,61
20 dic 2022,Organic Search,15
20 dic 2022,Organic Video,2
21 dic 2022,Direct,74
21 dic 2022,Organic Search,30
21 dic 2022,Organic Social,17
22 dic 2022,Organic Search,23
22 dic 2022,Direct,14
23 dic 2022,Direct,19
24 dic 2022,Organic Search,3
24 dic 2022,Direct,2
25 dic 2022,Organic Search,27
25 dic 2022,Direct,1
26 dic 2022,Organic Search,41
26 dic 2022,Direct,18
27 dic 2022,Organic Search,15
27 dic 2022,Direct,3
28 dic 2022,Direct,109
28 dic 2022,Organic Search,41
28 dic 2022,Organic Social,1
29 dic 2022,Direct,81
29 dic 2022,Organic Search,71
29 dic 2022,Organic Social,6
30 dic 2022,Organic Search,16
30 dic 2022,Direct,9
30 dic 2022,Organic Social,2
30 dic 2022,Referral,1
31 dic 2022,Organic Search,60
31 dic 2022,Direct,23
31 dic 2022,Organic Social,2
1 ene 2023,Organic Search,11
1 ene 2023,Direct,2
1 ene 2023,Organic Video,2
1 ene 2023,Organic Social,1
2 ene 2023,Organic Search,23
2 ene 2023,Direct,11
3 ene 2023,Direct,22
3 ene 2023,Organic Search,12
4 ene 2023,Direct,26
4 ene 2023,Organic Search,18
5 ene 2023,Organic Search,23
5 ene 2023,Direct,13
6 ene 2023,Organic Search,20
6 ene 2023,Direct,5
6 ene 2023,Unassigned,1
7 ene 2023,Organic Search,32
7 ene 2023,Direct,18
7 ene 2023,Unassigned,2
8 ene 2023,Organic Search,8
8 ene 2023,Direct,6
9 ene 2023,Organic Search,31
9 ene 2023,Direct,13
9 ene 2023,Organic Video,4
9 ene 2023,Referral,1
10 ene 2023,Organic Search,24
10 ene 2023,Direct,4
10 ene 2023,Referral,2
10 ene 2023,Organic Video,1
11 ene 2023,Organic Search,24
11 ene 2023,Direct,7
11 ene 2023,Organic Video,1
12 ene 2023,Organic Search,13
12 ene 2023,Direct,8
12 ene 2023,Organic Social,3
13 ene 2023,Organic Search,24
13 ene 2023,Direct,9
14 ene 2023,Organic Search,13
14 ene 2023,Direct,2
15 ene 2023,Organic Search,10
15 ene 2023,Direct,3
16 ene 2023,Organic Search,13
16 ene 2023,Direct,10
