,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
1319,6 abr 2022,52,17,22,32,10,15,20,7,7,0.0,0.0,0.0,0.0,0.0
1320,7 abr 2022,58,22,36,23,9,14,35,13,22,0.0,0.0,0.0,0.0,0.0
1321,8 abr 2022,27,15,19,12,6,8,15,9,11,0.0,0.0,0.0,0.0,0.0
1322,9 abr 2022,19,11,11,11,8,8,8,3,3,0.0,0.0,0.0,0.0,0.0
1323,10 abr 2022,7,7,7,3,3,3,4,4,4,0.0,0.0,0.0,0.0,0.0
1324,11 abr 2022,22,10,16,6,3,4,16,7,12,0.0,0.0,0.0,0.0,0.0
1325,12 abr 2022,30,16,21,18,7,11,12,9,10,0.0,0.0,0.0,0.0,0.0
1326,13 abr 2022,7,5,7,3,2,3,4,3,4,0.0,0.0,0.0,0.0,0.0
1327,14 abr 2022,5,3,3,5,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0
1328,15 abr 2022,2,2,2,0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0
1329,16 abr 2022,35,15,19,30,12,14,5,3,5,0.0,0.0,0.0,0.0,0.0
1330,17 abr 2022,9,5,6,5,1,2,4,4,4,0.0,0.0,0.0,0.0,0.0
1331,18 abr 2022,16,6,11,11,4,7,5,2,4,0.0,0.0,0.0,0.0,0.0
1332,19 abr 2022,29,14,23,15,7,12,14,7,11,0.0,0.0,0.0,0.0,0.0
1333,20 abr 2022,40,15,26,24,10,16,16,5,10,0.0,0.0,0.0,0.0,0.0
1334,21 abr 2022,48,20,31,33,12,20,15,8,11,0.0,0.0,0.0,0.0,0.0
1335,22 abr 2022,30,13,20,21,6,12,9,7,8,0.0,0.0,0.0,0.0,0.0
1336,23 abr 2022,25,6,12,18,5,9,7,1,3,0.0,0.0,0.0,0.0,0.0
1337,24 abr 2022,15,6,7,13,4,5,2,2,2,0.0,0.0,0.0,0.0,0.0
1338,25 abr 2022,23,11,13,15,5,6,8,6,7,0.0,0.0,0.0,0.0,0.0
1339,26 abr 2022,51,13,15,13,6,7,38,7,8,0.0,0.0,0.0,0.0,0.0
1340,27 abr 2022,31,17,24,20,8,14,11,9,10,0.0,0.0,0.0,0.0,0.0
1341,28 abr 2022,28,18,21,23,13,16,5,5,5,0.0,0.0,0.0,0.0,0.0
1342,29 abr 2022,41,22,29,25,9,14,16,13,15,0.0,0.0,0.0,0.0,0.0
1343,30 abr 2022,51,18,23,28,14,17,23,4,6,0.0,0.0,0.0,0.0,0.0
1344,1 may 2022,17,4,8,2,2,2,15,2,6,0.0,0.0,0.0,0.0,0.0
1345,2 may 2022,50,11,26,20,6,10,30,5,16,0.0,0.0,0.0,0.0,0.0
1346,3 may 2022,45,21,31,19,11,13,26,10,18,0.0,0.0,0.0,0.0,0.0
1347,4 may 2022,74,18,27,57,13,18,17,5,9,0.0,0.0,0.0,0.0,0.0
1348,5 may 2022,65,18,24,23,11,12,42,7,12,0.0,0.0,0.0,0.0,0.0
1349,6 may 2022,27,7,15,18,4,6,9,3,9,0.0,0.0,0.0,0.0,0.0
1350,7 may 2022,9,7,9,5,5,5,4,2,4,0.0,0.0,0.0,0.0,0.0
1351,8 may 2022,11,3,7,5,2,3,6,1,4,0.0,0.0,0.0,0.0,0.0
1352,9 may 2022,23,12,15,10,6,8,13,6,7,0.0,0.0,0.0,0.0,0.0
1353,10 may 2022,35,15,19,20,9,12,15,6,7,0.0,0.0,0.0,0.0,0.0
1354,11 may 2022,19,10,16,10,5,9,9,5,7,0.0,0.0,0.0,0.0,0.0
1355,12 may 2022,67,22,33,34,8,14,33,14,19,0.0,0.0,0.0,0.0,0.0
1356,13 may 2022,13,9,11,6,4,5,7,5,6,0.0,0.0,0.0,0.0,0.0
1357,14 may 2022,30,18,21,22,12,14,8,6,7,0.0,0.0,0.0,0.0,0.0
1358,15 may 2022,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
1359,16 may 2022,26,9,18,13,2,9,13,7,9,0.0,0.0,0.0,0.0,0.0
1360,17 may 2022,41,17,30,28,11,18,13,6,12,0.0,0.0,0.0,0.0,0.0
1361,18 may 2022,7,6,7,2,2,2,5,4,5,0.0,0.0,0.0,0.0,0.0
1362,19 may 2022,46,22,29,31,18,21,15,4,8,0.0,0.0,0.0,0.0,0.0
1363,20 may 2022,8,3,8,4,1,4,4,2,4,0.0,0.0,0.0,0.0,0.0
1364,21 may 2022,11,9,11,4,3,4,7,6,7,0.0,0.0,0.0,0.0,0.0
1365,22 may 2022,5,3,5,2,2,2,3,1,3,0.0,0.0,0.0,0.0,0.0
1366,23 may 2022,53,15,23,24,7,11,29,8,12,0.0,0.0,0.0,0.0,0.0
1367,24 may 2022,21,11,16,15,8,11,6,3,5,0.0,0.0,0.0,0.0,0.0
1368,25 may 2022,11,2,6,5,1,1,6,1,5,0.0,0.0,0.0,0.0,0.0
1369,26 may 2022,100,47,57,77,33,40,23,14,17,0.0,0.0,0.0,0.0,0.0
1370,27 may 2022,22,10,13,13,7,10,9,3,3,0.0,0.0,0.0,0.0,0.0
