,Todos los usuarios,Sesiones con rebote,Sesiones sin rebote,Tráfico de búsqueda,Tráfico de equipos de escritorio y tablet,Tráfico de móviles,Tráfico de tablets,Tráfico directo,Tráfico móvil y de tablet,Tráfico orgánico,Tráfico referido,Usuarios nuevos,Usuarios recurrentes
137,219.0,63.0,156.0,93.0,126.0,93.0,0.0,95.0,93.0,93.0,31.0,104.0,115.0
138,252.0,86.0,166.0,106.0,93.0,159.0,0.0,123.0,159.0,106.0,23.0,164.0,88.0
139,267.0,60.0,207.0,77.0,212.0,55.0,0.0,158.0,55.0,77.0,32.0,131.0,136.0
140,257.0,104.0,153.0,97.0,118.0,139.0,0.0,93.0,139.0,97.0,67.0,167.0,90.0
141,191.0,87.0,104.0,84.0,86.0,105.0,0.0,84.0,105.0,84.0,23.0,146.0,45.0
142,152.0,54.0,98.0,26.0,63.0,89.0,2.0,106.0,91.0,26.0,20.0,110.0,42.0
143,241.0,90.0,151.0,115.0,111.0,130.0,0.0,87.0,130.0,115.0,39.0,164.0,77.0
144,155.0,66.0,89.0,63.0,43.0,112.0,2.0,69.0,114.0,63.0,23.0,107.0,48.0
145,121.0,48.0,73.0,45.0,28.0,93.0,0.0,65.0,93.0,45.0,11.0,75.0,46.0
146,192.0,95.0,97.0,71.0,59.0,133.0,0.0,108.0,133.0,71.0,13.0,137.0,55.0
147,156.0,72.0,84.0,89.0,84.0,72.0,0.0,62.0,72.0,89.0,5.0,114.0,42.0
148,149.0,59.0,90.0,55.0,60.0,89.0,0.0,87.0,89.0,55.0,7.0,104.0,45.0
149,144.0,76.0,68.0,36.0,43.0,101.0,0.0,101.0,101.0,36.0,7.0,112.0,32.0
150,139.0,71.0,68.0,45.0,43.0,96.0,0.0,61.0,96.0,45.0,33.0,113.0,26.0
151,153.0,86.0,67.0,41.0,44.0,109.0,0.0,101.0,109.0,41.0,11.0,123.0,30.0
152,91.0,43.0,48.0,41.0,38.0,53.0,1.0,40.0,54.0,41.0,10.0,69.0,22.0
153,105.0,39.0,66.0,66.0,73.0,32.0,0.0,32.0,32.0,66.0,7.0,94.0,11.0
154,57.0,36.0,21.0,26.0,36.0,21.0,0.0,26.0,21.0,26.0,5.0,42.0,15.0
155,41.0,26.0,15.0,25.0,25.0,16.0,0.0,15.0,16.0,25.0,1.0,28.0,13.0
156,20.0,18.0,2.0,9.0,10.0,10.0,2.0,9.0,12.0,9.0,2.0,19.0,1.0
157,28.0,14.0,14.0,13.0,10.0,18.0,0.0,14.0,18.0,13.0,1.0,26.0,2.0
158,22.0,13.0,9.0,7.0,7.0,15.0,0.0,11.0,15.0,7.0,4.0,19.0,3.0
159,15.0,9.0,6.0,8.0,11.0,4.0,0.0,3.0,4.0,8.0,4.0,12.0,3.0
160,20.44,8.322000000000001,12.118,6.7970000000000015,9.431,11.009,94.0,9.623,11.103,6.7970000000000015,4.02,13.474,6.785
