Fecha,País,Número de vistas de página
21 dic 2018,Argentina,24
22 dic 2018,Argentina,48
23 dic 2018,Argentina,3
24 dic 2018,Argentina,8
24 dic 2018,Brazil,1
25 dic 2018,Argentina,3
26 dic 2018,Argentina,18
27 dic 2018,Argentina,24
27 dic 2018,Peru,1
28 dic 2018,Argentina,80
28 dic 2018,South Korea,1
28 dic 2018,United States,1
29 dic 2018,Argentina,57
30 dic 2018,Argentina,3
31 dic 2018,Argentina,18
1 ene 2019,Argentina,2
2 ene 2019,Argentina,19
2 ene 2019,Paraguay,2
3 ene 2019,Argentina,54
3 ene 2019,Spain,1
3 ene 2019,Colombia,1
4 ene 2019,Argentina,5
4 ene 2019,South Korea,1
5 ene 2019,Brazil,2
5 ene 2019,United States,1
5 ene 2019,Argentina,4
6 ene 2019,Argentina,12
7 ene 2019,Italy,1
7 ene 2019,Argentina,9
8 ene 2019,(not set),2
8 ene 2019,South Korea,1
8 ene 2019,Argentina,16
9 ene 2019,Argentina,8
9 ene 2019,Mexico,1
10 ene 2019,Argentina,1
11 ene 2019,Argentina,9
11 ene 2019,South Korea,1
12 ene 2019,United States,1
12 ene 2019,Argentina,9
12 ene 2019,Venezuela,1
13 ene 2019,United States,1
13 ene 2019,Argentina,9
14 ene 2019,United States,1
14 ene 2019,Argentina,30
15 ene 2019,Argentina,52
16 ene 2019,Argentina,18
17 ene 2019,Argentina,50
17 ene 2019,Colombia,1
18 ene 2019,South Korea,1
18 ene 2019,Brazil,2
18 ene 2019,Argentina,28
18 ene 2019,Cuba,2
19 ene 2019,Brazil,7
19 ene 2019,United States,2
19 ene 2019,Argentina,4
20 ene 2019,Mexico,1
20 ene 2019,Argentina,10
21 ene 2019,Brazil,1
21 ene 2019,Argentina,14
22 ene 2019,Argentina,52
22 ene 2019,South Korea,1
23 ene 2019,Japan,1
23 ene 2019,Argentina,25
24 ene 2019,Cuba,11
24 ene 2019,Argentina,27
25 ene 2019,Paraguay,1
25 ene 2019,Argentina,15
25 ene 2019,South Korea,1
25 ene 2019,Ecuador,1
26 ene 2019,Argentina,11
27 ene 2019,Argentina,3
27 ene 2019,United States,1
28 ene 2019,Argentina,25
28 ene 2019,Mexico,1
29 ene 2019,Cuba,1
29 ene 2019,Argentina,21
29 ene 2019,South Korea,1
30 ene 2019,Argentina,14
31 ene 2019,Argentina,7
1 feb 2019,Argentina,24
2 feb 2019,Argentina,12
3 feb 2019,Argentina,3
4 feb 2019,Argentina,42
4 feb 2019,United States,1
4 feb 2019,Brazil,1
5 feb 2019,Cuba,2
5 feb 2019,Chile,1
5 feb 2019,Mexico,1
5 feb 2019,Argentina,8
6 feb 2019,Peru,1
6 feb 2019,Argentina,18
6 feb 2019,Cuba,2
7 feb 2019,United States,4
7 feb 2019,Colombia,1
7 feb 2019,Argentina,112
8 feb 2019,Japan,1
8 feb 2019,Brazil,2
8 feb 2019,Argentina,14
8 feb 2019,South Korea,1
9 feb 2019,Argentina,14
9 feb 2019,Colombia,2
9 feb 2019,United States,1
10 feb 2019,Portugal,1
10 feb 2019,Argentina,11
11 feb 2019,Argentina,20
11 feb 2019,Mexico,1
12 feb 2019,United States,2
12 feb 2019,South Korea,1
12 feb 2019,Argentina,20
13 feb 2019,Argentina,12
14 feb 2019,United States,1
14 feb 2019,Argentina,15
15 feb 2019,Argentina,21
16 feb 2019,Argentina,14
17 feb 2019,Argentina,12
18 feb 2019,Argentina,31
19 feb 2019,South Korea,1
19 feb 2019,France,2
19 feb 2019,Argentina,11
20 feb 2019,Argentina,20
21 feb 2019,Argentina,20
22 feb 2019,Mexico,1
22 feb 2019,United States,2
22 feb 2019,Argentina,13
23 feb 2019,Argentina,11
23 feb 2019,Colombia,3
24 feb 2019,Argentina,4
25 feb 2019,Argentina,23
25 feb 2019,Spain,1
26 feb 2019,United States,1
26 feb 2019,Argentina,17
26 feb 2019,South Korea,1
27 feb 2019,Brazil,1
27 feb 2019,Argentina,7
28 feb 2019,Brazil,1
28 feb 2019,China,1
28 feb 2019,Argentina,22
1 mar 2019,Uruguay,2
1 mar 2019,Mexico,1
1 mar 2019,Brazil,1
1 mar 2019,Argentina,2
2 mar 2019,Argentina,25
3 mar 2019,Colombia,1
3 mar 2019,Argentina,4
4 mar 2019,Argentina,13
5 mar 2019,South Korea,1
5 mar 2019,Argentina,10
6 mar 2019,Spain,1
6 mar 2019,Argentina,24
7 mar 2019,Argentina,21
8 mar 2019,China,1
8 mar 2019,Argentina,8
8 mar 2019,Greece,1
9 mar 2019,Spain,4
9 mar 2019,China,1
9 mar 2019,South Korea,1
9 mar 2019,Argentina,25
10 mar 2019,China,1
10 mar 2019,Argentina,5
11 mar 2019,China,1
11 mar 2019,United States,1
11 mar 2019,Argentina,32
11 mar 2019,Brazil,1
12 mar 2019,South Korea,1
12 mar 2019,Argentina,26
12 mar 2019,Spain,1
13 mar 2019,France,10
13 mar 2019,Paraguay,1
13 mar 2019,Argentina,16
14 mar 2019,Argentina,17
14 mar 2019,Mexico,1
14 mar 2019,Cuba,2
15 mar 2019,United States,1
15 mar 2019,Argentina,38
15 mar 2019,South Korea,1
16 mar 2019,United States,1
16 mar 2019,Spain,1
16 mar 2019,Paraguay,1
16 mar 2019,Argentina,17
17 mar 2019,Argentina,7
18 mar 2019,Argentina,27
18 mar 2019,China,1
19 mar 2019,South Korea,1
19 mar 2019,Mexico,3
19 mar 2019,China,1
19 mar 2019,Argentina,6
20 mar 2019,Argentina,39
20 mar 2019,Nigeria,2
20 mar 2019,Mexico,6
21 mar 2019,Argentina,35
22 mar 2019,South Korea,1
22 mar 2019,Argentina,23
22 mar 2019,Brazil,1
23 mar 2019,Argentina,9
23 mar 2019,China,1
23 mar 2019,United States,8
24 mar 2019,Argentina,24
25 mar 2019,Canada,1
25 mar 2019,Peru,1
25 mar 2019,United States,2
