Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
22 sept 2021,64,25,34,1.0294117647058822,35
23 sept 2021,41,18,22,1,22
24 sept 2021,8,4,6,1,6
25 sept 2021,23,11,14,1.0714285714285714,15
26 sept 2021,9,3,7,1,7
27 sept 2021,132,53,71,1.1549295774647887,82
28 sept 2021,54,11,23,1.2173913043478262,28
29 sept 2021,52,13,24,1.3333333333333333,32
30 sept 2021,22,10,15,1,15
1 oct 2021,71,22,28,1.0714285714285714,30
2 oct 2021,8,4,5,1.6,8
3 oct 2021,18,5,7,1.2857142857142858,9
4 oct 2021,117,31,41,1.2439024390243902,51
5 oct 2021,30,15,19,1.1578947368421053,22
6 oct 2021,140,34,46,1.3478260869565217,62
7 oct 2021,63,23,30,1.1333333333333333,34
8 oct 2021,38,5,13,1.1538461538461537,15
9 oct 2021,12,7,9,1.2222222222222223,11
10 oct 2021,16,5,11,1,11
11 oct 2021,19,6,8,1,8
12 oct 2021,39,18,22,1.2272727272727273,27
13 oct 2021,106,24,36,1.0277777777777777,37
14 oct 2021,45,13,20,1.15,23
15 oct 2021,25,11,14,1,14
16 oct 2021,5,3,5,1,5
17 oct 2021,23,7,10,1.2,12
18 oct 2021,87,20,29,1.206896551724138,35
19 oct 2021,96,15,33,1.1818181818181819,39
20 oct 2021,51,21,28,1.1428571428571428,32
21 oct 2021,59,23,29,1.103448275862069,32
22 oct 2021,12,5,9,1.1111111111111112,10
23 oct 2021,14,11,11,1,11
24 oct 2021,18,5,8,1.125,9
25 oct 2021,161,91,99,1.0303030303030303,102
26 oct 2021,103,45,54,1.0740740740740742,58
27 oct 2021,96,23,33,1.1818181818181819,39
28 oct 2021,38,18,28,1.0357142857142858,29
29 oct 2021,23,10,16,1,16
30 oct 2021,15,5,7,1,7
31 oct 2021,4,1,4,1,4
1 nov 2021,33,19,22,1.0454545454545454,23
2 nov 2021,12,7,8,1,8
3 nov 2021,24,12,22,1,22
4 nov 2021,57,30,39,1.0769230769230769,42
5 nov 2021,16,5,11,1,11
6 nov 2021,19,8,10,1,10
7 nov 2021,6,2,4,1.5,6
8 nov 2021,17,13,16,1,16
9 nov 2021,18,9,13,1,13
10 nov 2021,18,10,15,1,15
11 nov 2021,20,11,15,1,15
12 nov 2021,12,5,10,1,10
13 nov 2021,11,5,5,1.4,7
14 nov 2021,8,4,6,1,6
15 nov 2021,29,16,23,1.0869565217391304,25
16 nov 2021,11,3,6,1.1666666666666667,7
17 nov 2021,72,30,37,1.054054054054054,39
18 nov 2021,16,13,16,1,16
19 nov 2021,21,8,15,1,15
20 nov 2021,12,5,6,1.3333333333333333,8
21 nov 2021,3,2,3,1,3
22 nov 2021,12,4,8,1,8
23 nov 2021,79,19,25,1.12,28
24 nov 2021,51,23,27,1.0740740740740742,29
25 nov 2021,81,29,37,1.054054054054054,39
26 nov 2021,12,6,6,1,6
27 nov 2021,9,3,6,1.1666666666666667,7
28 nov 2021,12,4,8,1,8
29 nov 2021,9,9,9,1,9
30 nov 2021,210,76,80,1.15,92
1 dic 2021,44,19,25,1.04,26
