Fecha,Agrupación de canales predeterminada,Número de vistas de página
23 dic 2018,Direct,2
24 dic 2018,Social,1
24 dic 2018,Direct,8
25 dic 2018,Direct,3
26 dic 2018,Direct,11
26 dic 2018,Social,1
26 dic 2018,Organic Search,6
27 dic 2018,Direct,20
27 dic 2018,Social,1
27 dic 2018,Organic Search,4
28 dic 2018,Organic Search,2
28 dic 2018,Social,1
28 dic 2018,Direct,79
29 dic 2018,Direct,11
29 dic 2018,Organic Search,46
30 dic 2018,Organic Search,1
30 dic 2018,Direct,2
31 dic 2018,Organic Search,1
31 dic 2018,Direct,17
1 ene 2019,Direct,2
2 ene 2019,Social,1
2 ene 2019,Direct,7
2 ene 2019,Organic Search,13
3 ene 2019,Organic Search,5
3 ene 2019,Direct,50
3 ene 2019,Referral,1
4 ene 2019,Direct,1
4 ene 2019,Organic Search,5
5 ene 2019,Organic Search,2
5 ene 2019,Direct,5
6 ene 2019,Direct,12
7 ene 2019,Organic Search,4
7 ene 2019,Direct,6
8 ene 2019,Direct,16
8 ene 2019,Social,1
8 ene 2019,Organic Search,2
9 ene 2019,Direct,8
9 ene 2019,Organic Search,1
10 ene 2019,Organic Search,1
11 ene 2019,Organic Search,5
11 ene 2019,Social,1
11 ene 2019,Direct,4
12 ene 2019,Social,1
12 ene 2019,Organic Search,1
12 ene 2019,Direct,9
13 ene 2019,Direct,5
13 ene 2019,Organic Search,5
14 ene 2019,Organic Search,20
14 ene 2019,Referral,2
14 ene 2019,Direct,9
15 ene 2019,Direct,13
15 ene 2019,Organic Search,38
15 ene 2019,Social,1
16 ene 2019,Organic Search,9
16 ene 2019,Direct,6
16 ene 2019,Social,3
17 ene 2019,Organic Search,50
17 ene 2019,Direct,1
18 ene 2019,Direct,15
18 ene 2019,Organic Search,18
19 ene 2019,Direct,4
19 ene 2019,Organic Search,9
20 ene 2019,Direct,3
20 ene 2019,Organic Search,8
21 ene 2019,Direct,6
21 ene 2019,Organic Search,8
21 ene 2019,Referral,1
22 ene 2019,Referral,2
22 ene 2019,Direct,45
22 ene 2019,Organic Search,6
23 ene 2019,Organic Search,8
23 ene 2019,Direct,16
23 ene 2019,Referral,2
24 ene 2019,Direct,19
24 ene 2019,Referral,2
24 ene 2019,Organic Search,17
25 ene 2019,Direct,4
25 ene 2019,Referral,2
25 ene 2019,Organic Search,11
25 ene 2019,Social,1
26 ene 2019,Referral,1
26 ene 2019,Organic Search,3
26 ene 2019,Direct,7
27 ene 2019,Organic Search,2
27 ene 2019,Direct,2
28 ene 2019,Social,7
28 ene 2019,Direct,5
28 ene 2019,Organic Search,12
28 ene 2019,Referral,2
29 ene 2019,Direct,8
29 ene 2019,Organic Search,15
30 ene 2019,Direct,13
30 ene 2019,Organic Search,1
31 ene 2019,Organic Search,1
31 ene 2019,Direct,6
1 feb 2019,Direct,9
1 feb 2019,Social,4
1 feb 2019,Organic Search,11
2 feb 2019,Organic Search,11
2 feb 2019,Direct,1
3 feb 2019,Organic Search,2
3 feb 2019,Direct,1
4 feb 2019,Organic Search,19
4 feb 2019,Social,6
4 feb 2019,Direct,19
5 feb 2019,Social,2
5 feb 2019,Direct,9
5 feb 2019,Organic Search,1
6 feb 2019,Organic Search,9
6 feb 2019,Direct,8
6 feb 2019,Social,4
7 feb 2019,Social,106
7 feb 2019,Organic Search,1
7 feb 2019,Direct,10
8 feb 2019,Referral,1
8 feb 2019,Organic Search,5
8 feb 2019,Social,5
