Fecha,Sistema operativo,Número de vistas de página
16 may 2019,Windows,22
16 may 2019,Android,11
17 may 2019,Macintosh,1
17 may 2019,Android,6
17 may 2019,Windows,53
17 may 2019,iOS,1
17 may 2019,Linux,7
18 may 2019,Android,7
18 may 2019,Windows,3
19 may 2019,iOS,2
19 may 2019,Linux,2
19 may 2019,Windows,17
19 may 2019,Android,8
20 may 2019,iOS,4
20 may 2019,Windows,39
20 may 2019,Linux,2
20 may 2019,Macintosh,4
20 may 2019,Android,13
21 may 2019,Android,66
21 may 2019,Macintosh,1
21 may 2019,Windows,64
22 may 2019,Android,20
22 may 2019,Windows,125
22 may 2019,iOS,2
23 may 2019,Macintosh,1
23 may 2019,Windows,8
23 may 2019,Linux,1
23 may 2019,Tizen,1
23 may 2019,Android,24
24 may 2019,Android,18
24 may 2019,Windows,201
24 may 2019,iOS,8
24 may 2019,Linux,2
25 may 2019,Linux,6
25 may 2019,Windows,16
25 may 2019,iOS,5
25 may 2019,Android,11
26 may 2019,iOS,1
26 may 2019,Android,1
26 may 2019,Windows,14
27 may 2019,Macintosh,4
27 may 2019,Windows,25
27 may 2019,iOS,1
27 may 2019,Linux,1
27 may 2019,Android,1
28 may 2019,Android,39
28 may 2019,iOS,12
28 may 2019,Linux,5
28 may 2019,(not set),1
28 may 2019,Windows,20
29 may 2019,Android,4
29 may 2019,Macintosh,3
29 may 2019,Windows,9
29 may 2019,iOS,9
30 may 2019,Linux,2
30 may 2019,iOS,9
30 may 2019,Android,37
30 may 2019,Windows,51
30 may 2019,Macintosh,3
31 may 2019,Windows,72
31 may 2019,Android,7
31 may 2019,Linux,2
1 jun 2019,Android,12
1 jun 2019,Windows,11
2 jun 2019,Android,3
2 jun 2019,Macintosh,8
2 jun 2019,Windows,4
3 jun 2019,Windows,18
3 jun 2019,iOS,15
3 jun 2019,Linux,1
3 jun 2019,Android,15
4 jun 2019,Android,27
4 jun 2019,Windows,16
5 jun 2019,Macintosh,4
5 jun 2019,Android,47
5 jun 2019,Windows,136
5 jun 2019,iOS,2
6 jun 2019,Windows,69
6 jun 2019,Linux,14
6 jun 2019,iOS,2
6 jun 2019,Android,7
7 jun 2019,iOS,1
7 jun 2019,Android,17
7 jun 2019,Windows,56
7 jun 2019,Linux,3
8 jun 2019,Android,36
8 jun 2019,Windows,10
8 jun 2019,iOS,5
9 jun 2019,Windows,6
9 jun 2019,iOS,3
9 jun 2019,Android,20
10 jun 2019,Windows,31
10 jun 2019,Android,28
11 jun 2019,Windows,40
11 jun 2019,Android,46
11 jun 2019,Macintosh,1
11 jun 2019,iOS,8
11 jun 2019,(not set),1
12 jun 2019,Windows Phone,1
12 jun 2019,Android,12
12 jun 2019,Windows,33
12 jun 2019,Linux,1
13 jun 2019,iOS,1
13 jun 2019,Linux,8
13 jun 2019,Android,7
13 jun 2019,Windows,634
14 jun 2019,Windows,25
14 jun 2019,(not set),8
14 jun 2019,Linux,1
14 jun 2019,iOS,1
14 jun 2019,Android,15
15 jun 2019,Android,33
15 jun 2019,iOS,2
15 jun 2019,Windows,17
16 jun 2019,Android,10
17 jun 2019,Windows,60
