,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Linux,iOS,Macintosh,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Socials,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
40,13 ene 2024,40,6,17,1.2,18,38,2,21,19,0,13.333333333333336,9.463379711052259,21,19,0,0,0,0,5.7142857142857135,9.050876606546947,34,5,1,0,10.0,13.982131454109563
41,14 ene 2024,4,2,4,1.0,4,3,1,2,2,0,1.3333333333333333,0.9428090415820634,2,1,0,0,1,0,0.5714285714285714,0.7284313590846835,3,1,0,0,1.0,1.224744871391589
42,15 ene 2024,8,2,6,1.0,6,7,1,1,7,0,2.6666666666666665,3.091206165165235,1,3,4,0,0,0,1.1428571428571428,1.5518257844571737,7,1,0,0,2.0,2.9154759474226504
43,16 ene 2024,28,2,4,3.5,7,27,1,2,26,0,9.333333333333334,11.813363431112899,1,26,0,1,0,0,4.0,8.992059989632123,2,25,1,0,7.0,10.41633332799983
44,17 ene 2024,15,3,5,1.2,6,13,2,0,15,0,5.0,7.071067811865476,0,15,0,0,0,0,2.142857142857143,5.2489065916782405,9,4,2,0,3.75,3.344772040064913
45,18 ene 2024,26,8,10,1.1111111111111112,10,21,5,4,22,0,8.666666666666666,9.568466729604884,4,21,1,0,0,0,3.7142857142857135,7.185586479976737,6,19,1,0,6.5,7.566372975210777
46,19 ene 2024,13,2,3,1.3333333333333333,4,12,1,1,12,0,4.333333333333333,5.436502143433364,1,12,0,0,0,0,1.8571428571428568,4.15515416349971,1,1,11,0,3.25,4.493050188902857
47,20 ene 2024,12,4,6,1.6,8,12,0,8,4,0,4.0,3.2659863237109037,8,4,0,0,0,0,1.7142857142857142,2.913725436338734,12,0,0,0,3.0,5.196152422706632
48,21 ene 2024,17,5,9,1.4444444444444444,13,13,4,11,6,0,5.666666666666668,4.496912521077348,11,5,0,0,1,0,2.4285714285714284,3.8861344310672687,6,7,4,0,4.25,2.680951323690902
49,22 ene 2024,22,4,7,1.4,7,20,2,4,18,0,7.333333333333332,7.717224601860151,4,18,0,0,0,0,3.1428571428571432,6.2204403020220695,21,1,0,0,5.5,8.958236433584457
