,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,smart tv,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,iOS,Macintosh,Linux,Tizen,Windows Phone,Playstation 4,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Social,Referral,Organic Video,Unassigned,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
61,14 ago 2022,4,3,4,1.25,5,3,1,2,2,0,0,1.0,1.0,2,2,0,0,0,0,0,0,0,0.4444444444444444,0.8314794192830981,3.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1055415967851332
62,15 ago 2022,13,5,5,1.0,5,9,4,3,10,0,0,3.25,4.085033659592049,3,7,0,0,3,0,0,0,0,1.4444444444444444,2.3147407395555173,9.0,3.0,0.0,1.0,0.0,0.0,2.1666666666666665,3.2360813064912666
63,16 ago 2022,94,19,25,1.3043478260869563,30,87,7,25,69,0,0,23.5,28.18244134208391,23,66,2,3,0,0,0,0,0,10.444444444444443,20.85990897557168,37.0,46.0,11.0,0.0,0.0,0.0,15.666666666666664,18.856180831641268
64,17 ago 2022,34,10,18,1.375,22,31,3,21,13,0,0,8.5,8.958236433584457,21,13,0,0,0,0,0,0,0,3.7777777777777777,7.314791373614573,10.0,21.0,3.0,0.0,0.0,0.0,5.666666666666668,7.717224601860149
65,18 ago 2022,39,16,22,1.15,23,37,2,27,12,0,0,9.75,11.098986440211556,26,12,1,0,0,0,0,0,0,4.333333333333333,8.511430223202469,6.0,25.0,8.0,0.0,0.0,0.0,6.5,8.864724097981467
66,19 ago 2022,23,11,15,1.0714285714285714,15,23,0,10,13,0,0,5.75,5.847007781763249,10,10,0,2,1,0,0,0,0,2.555555555555556,4.030746032714902,10.0,8.0,5.0,0.0,0.0,0.0,3.8333333333333335,4.099457958749615
67,20 ago 2022,13,4,7,1.3333333333333333,8,11,2,7,6,0,0,3.25,3.2691742076555053,3,6,4,0,0,0,0,0,0,1.4444444444444444,2.165954298846436,3.0,9.0,1.0,0.0,0.0,0.0,2.1666666666666665,3.2360813064912666
68,21 ago 2022,5,5,5,1.2,6,4,1,3,2,0,0,1.25,1.299038105676658,3,2,0,0,0,0,0,0,0,0.5555555555555556,1.0657403385139381,3.0,1.0,0.0,1.0,0.0,0.0,0.8333333333333334,1.0671873729054748
69,22 ago 2022,20,11,15,1.2666666666666666,19,18,2,10,10,0,0,5.0,5.0,10,9,0,1,0,0,0,0,0,2.2222222222222223,3.90946935239093,16.0,3.0,0.0,1.0,0.0,0.0,3.333333333333333,5.7638721552635275
70,23 ago 2022,15,4,8,1.5,9,15,0,8,7,0,0,3.75,3.7666297933298414,8,7,0,0,0,0,0,0,0,1.6666666666666667,3.1269438398822853,3.0,6.0,6.0,0.0,0.0,0.0,2.5,2.6925824035672523
