Fecha,Grupo de canales predeterminado de la sesión,Vistas
22 nov 2022,Referral,2
23 nov 2022,Direct,50
23 nov 2022,Organic Search,14
24 nov 2022,Organic Search,5
24 nov 2022,Direct,3
24 nov 2022,Organic Social,1
24 nov 2022,Referral,1
25 nov 2022,Direct,9
26 nov 2022,Direct,19
26 nov 2022,Organic Search,4
26 nov 2022,Referral,2
27 nov 2022,Direct,2
28 nov 2022,Organic Search,17
28 nov 2022,Direct,5
29 nov 2022,Organic Search,5
29 nov 2022,Direct,4
30 nov 2022,Direct,9
30 nov 2022,Organic Search,4
30 nov 2022,Organic Social,4
30 nov 2022,Referral,1
1 dic 2022,Direct,10
1 dic 2022,Organic Search,10
1 dic 2022,Organic Social,1
1 dic 2022,Referral,1
2 dic 2022,Direct,2
2 dic 2022,Organic Search,1
3 dic 2022,Organic Search,4
3 dic 2022,Referral,3
3 dic 2022,Direct,2
4 dic 2022,Organic Search,18
4 dic 2022,Direct,2
5 dic 2022,Direct,6
5 dic 2022,Organic Search,4
5 dic 2022,Referral,1
6 dic 2022,Organic Search,26
6 dic 2022,Direct,1
7 dic 2022,Organic Search,15
7 dic 2022,Direct,7
7 dic 2022,Organic Social,1
8 dic 2022,Direct,7
8 dic 2022,Organic Search,2
8 dic 2022,Organic Social,1
9 dic 2022,Referral,2
9 dic 2022,Organic Search,1
10 dic 2022,Direct,7
11 dic 2022,Organic Search,2
11 dic 2022,Direct,1
12 dic 2022,Organic Search,10
12 dic 2022,Direct,5
12 dic 2022,Organic Social,1
13 dic 2022,Direct,3
13 dic 2022,Organic Search,2
13 dic 2022,Referral,1
14 dic 2022,Direct,3
14 dic 2022,Organic Search,3
15 dic 2022,Direct,7
15 dic 2022,Organic Search,3
15 dic 2022,Organic Video,1
15 dic 2022,Referral,1
16 dic 2022,Organic Search,5
16 dic 2022,Direct,3
16 dic 2022,Organic Social,1
17 dic 2022,Direct,4
17 dic 2022,Organic Search,1
18 dic 2022,Direct,1
19 dic 2022,Organic Search,13
19 dic 2022,Direct,6
19 dic 2022,Referral,1
20 dic 2022,Organic Search,3
20 dic 2022,Direct,2
21 dic 2022,Organic Search,4
22 dic 2022,Organic Search,3
23 dic 2022,Direct,2
23 dic 2022,Organic Search,1
24 dic 2022,Direct,1
24 dic 2022,Organic Search,1
25 dic 2022,Direct,3
25 dic 2022,Organic Search,1
26 dic 2022,Organic Search,2
26 dic 2022,Direct,1
26 dic 2022,Referral,0
27 dic 2022,Organic Search,2
27 dic 2022,Direct,1
28 dic 2022,Organic Search,1
29 dic 2022,Organic Search,2
30 dic 2022,Direct,2
30 dic 2022,Organic Search,1
30 dic 2022,Referral,1
31 dic 2022,Organic Search,1
31 dic 2022,Referral,1
1 ene 2023,Organic Search,2
2 ene 2023,Organic Search,4
3 ene 2023,Direct,3
4 ene 2023,Direct,5
4 ene 2023,Organic Search,3
5 ene 2023,Direct,1
5 ene 2023,Organic Search,1
6 ene 2023,Organic Search,2
6 ene 2023,Direct,1
7 ene 2023,Direct,1
7 ene 2023,Referral,1
8 ene 2023,Direct,3
8 ene 2023,Referral,3
9 ene 2023,Organic Search,4
9 ene 2023,Direct,1
10 ene 2023,Organic Search,1
11 ene 2023,Organic Search,1
13 ene 2023,Direct,5
13 ene 2023,Organic Search,1
14 ene 2023,Direct,2
14 ene 2023,Referral,1
15 ene 2023,Organic Search,2
16 ene 2023,Organic Social,2
16 ene 2023,Organic Search,1
16 ene 2023,Referral,1
17 ene 2023,Organic Search,2
18 ene 2023,Organic Search,2
18 ene 2023,Referral,1
19 ene 2023,Direct,1
20 ene 2023,Organic Search,2
20 ene 2023,Direct,1
21 ene 2023,Organic Search,3
21 ene 2023,Direct,1
21 ene 2023,Organic Video,1
21 ene 2023,Referral,1
22 ene 2023,Organic Search,2
