Fecha,Categoría de dispositivo,Vistas
16 ene 2023,mobile,1
17 ene 2023,desktop,2
18 ene 2023,desktop,3
19 ene 2023,desktop,1
20 ene 2023,mobile,3
21 ene 2023,mobile,4
21 ene 2023,desktop,2
22 ene 2023,mobile,2
22 ene 2023,desktop,1
23 ene 2023,desktop,1
24 ene 2023,mobile,4
24 ene 2023,desktop,1
25 ene 2023,desktop,3
25 ene 2023,mobile,1
26 ene 2023,mobile,3
26 ene 2023,desktop,2
27 ene 2023,desktop,6
27 ene 2023,mobile,2
28 ene 2023,mobile,2
29 ene 2023,mobile,2
30 ene 2023,mobile,6
30 ene 2023,desktop,3
31 ene 2023,desktop,8
31 ene 2023,mobile,3
1 feb 2023,desktop,1
2 feb 2023,desktop,6
2 feb 2023,mobile,2
3 feb 2023,desktop,5
3 feb 2023,mobile,3
4 feb 2023,mobile,5
5 feb 2023,desktop,1
5 feb 2023,mobile,1
6 feb 2023,desktop,5
6 feb 2023,mobile,5
7 feb 2023,mobile,13
7 feb 2023,desktop,4
8 feb 2023,desktop,5
8 feb 2023,mobile,4
9 feb 2023,desktop,5
9 feb 2023,mobile,3
10 feb 2023,desktop,6
10 feb 2023,mobile,2
11 feb 2023,desktop,4
12 feb 2023,desktop,7
12 feb 2023,mobile,1
13 feb 2023,desktop,9
13 feb 2023,mobile,1
14 feb 2023,desktop,19
14 feb 2023,mobile,2
15 feb 2023,desktop,11
15 feb 2023,mobile,2
16 feb 2023,desktop,15
16 feb 2023,mobile,1
17 feb 2023,desktop,18
17 feb 2023,mobile,11
18 feb 2023,desktop,1
19 feb 2023,mobile,1
20 feb 2023,mobile,3
21 feb 2023,mobile,3
21 feb 2023,desktop,1
22 feb 2023,desktop,7
22 feb 2023,mobile,4
23 feb 2023,mobile,10
23 feb 2023,desktop,2
24 feb 2023,mobile,6
24 feb 2023,desktop,1
25 feb 2023,mobile,7
25 feb 2023,desktop,6
26 feb 2023,mobile,12
26 feb 2023,desktop,2
26 feb 2023,smart tv,1
27 feb 2023,mobile,17
27 feb 2023,desktop,13
28 feb 2023,mobile,25
28 feb 2023,desktop,15
28 feb 2023,tablet,1
1 mar 2023,mobile,35
1 mar 2023,desktop,8
2 mar 2023,mobile,24
2 mar 2023,desktop,13
2 mar 2023,tablet,2
3 mar 2023,desktop,28
3 mar 2023,mobile,11
4 mar 2023,mobile,10
4 mar 2023,desktop,1
5 mar 2023,desktop,10
5 mar 2023,mobile,6
6 mar 2023,mobile,19
6 mar 2023,desktop,12
7 mar 2023,mobile,10
7 mar 2023,desktop,9
8 mar 2023,mobile,16
8 mar 2023,desktop,13
9 mar 2023,mobile,7
9 mar 2023,desktop,5
10 mar 2023,desktop,12
10 mar 2023,mobile,12
10 mar 2023,tablet,1
11 mar 2023,desktop,6
11 mar 2023,mobile,5
12 mar 2023,mobile,5
12 mar 2023,desktop,3
13 mar 2023,desktop,13
13 mar 2023,mobile,7
14 mar 2023,mobile,10
14 mar 2023,desktop,6
14 mar 2023,tablet,1
15 mar 2023,mobile,27
15 mar 2023,desktop,20
15 mar 2023,tablet,2
16 mar 2023,mobile,27
16 mar 2023,desktop,9
17 mar 2023,desktop,17
17 mar 2023,mobile,7
18 mar 2023,mobile,18
18 mar 2023,desktop,11
19 mar 2023,mobile,10
19 mar 2023,desktop,2
19 mar 2023,tablet,1
20 mar 2023,mobile,17
20 mar 2023,desktop,13
21 mar 2023,mobile,24
21 mar 2023,desktop,3
22 mar 2023,mobile,13
22 mar 2023,desktop,11
23 mar 2023,mobile,12
23 mar 2023,desktop,8
24 mar 2023,mobile,4
24 mar 2023,desktop,1
25 mar 2023,mobile,8
25 mar 2023,desktop,2
26 mar 2023,mobile,10
26 mar 2023,desktop,3
26 mar 2023,tablet,1
27 mar 2023,mobile,6
27 mar 2023,desktop,3
28 mar 2023,mobile,10
28 mar 2023,desktop,7
28 mar 2023,tablet,1
29 mar 2023,mobile,14
29 mar 2023,desktop,13
30 mar 2023,mobile,10
30 mar 2023,desktop,9
31 mar 2023,desktop,56
31 mar 2023,mobile,43
1 abr 2023,desktop,17
1 abr 2023,mobile,5
2 abr 2023,mobile,13
2 abr 2023,desktop,1
2 abr 2023,tablet,1
3 abr 2023,mobile,15
3 abr 2023,desktop,8
3 abr 2023,smart tv,1
4 abr 2023,mobile,17
4 abr 2023,desktop,11
4 abr 2023,tablet,2
5 abr 2023,mobile,9
5 abr 2023,desktop,4
6 abr 2023,desktop,7
6 abr 2023,mobile,3
7 abr 2023,desktop,8
7 abr 2023,mobile,1
8 abr 2023,desktop,8
8 abr 2023,mobile,5
9 abr 2023,mobile,12
9 abr 2023,desktop,7
10 abr 2023,desktop,4
10 abr 2023,mobile,1
11 abr 2023,desktop,4
11 abr 2023,mobile,2
12 abr 2023,mobile,32
12 abr 2023,desktop,26
13 abr 2023,mobile,24
13 abr 2023,desktop,6
14 abr 2023,desktop,9
14 abr 2023,mobile,9
15 abr 2023,mobile,8
15 abr 2023,desktop,2
16 abr 2023,mobile,15
16 abr 2023,desktop,2
17 abr 2023,mobile,15
17 abr 2023,desktop,6
17 abr 2023,tablet,1
18 abr 2023,mobile,20
18 abr 2023,desktop,3
19 abr 2023,desktop,12
19 abr 2023,mobile,10
20 abr 2023,desktop,38
20 abr 2023,mobile,3
21 abr 2023,desktop,18
21 abr 2023,mobile,9
22 abr 2023,desktop,26
22 abr 2023,mobile,13
22 abr 2023,tablet,1
23 abr 2023,desktop,38
23 abr 2023,mobile,13
23 abr 2023,smart tv,1
24 abr 2023,mobile,15
24 abr 2023,desktop,12
25 abr 2023,mobile,8
25 abr 2023,desktop,3
26 abr 2023,mobile,28
26 abr 2023,desktop,13
27 abr 2023,desktop,63
27 abr 2023,mobile,26
28 abr 2023,mobile,16
28 abr 2023,desktop,11
29 abr 2023,mobile,30
29 abr 2023,desktop,12
30 abr 2023,mobile,16
30 abr 2023,desktop,15
1 may 2023,mobile,11
1 may 2023,desktop,3
2 may 2023,mobile,41
2 may 2023,desktop,23
3 may 2023,mobile,64
3 may 2023,desktop,44
4 may 2023,mobile,70
4 may 2023,desktop,17
5 may 2023,desktop,23
5 may 2023,mobile,20
6 may 2023,mobile,66
6 may 2023,desktop,28
7 may 2023,mobile,21
7 may 2023,desktop,16
8 may 2023,mobile,44
8 may 2023,desktop,23
9 may 2023,mobile,35
9 may 2023,desktop,19
10 may 2023,mobile,54
10 may 2023,desktop,22
11 may 2023,mobile,49
11 may 2023,desktop,35
11 may 2023,tablet,1
12 may 2023,mobile,37
12 may 2023,desktop,19
13 may 2023,mobile,77
13 may 2023,desktop,23
14 may 2023,mobile,33
14 may 2023,desktop,4
