Fecha,Categoría de dispositivo,Número de vistas de página
14 mar 2019,desktop,582
15 mar 2019,tablet,3
15 mar 2019,desktop,456
15 mar 2019,mobile,579
16 mar 2019,desktop,136
16 mar 2019,mobile,301
16 mar 2019,tablet,3
17 mar 2019,tablet,3
17 mar 2019,mobile,360
17 mar 2019,desktop,211
18 mar 2019,desktop,581
18 mar 2019,mobile,526
18 mar 2019,tablet,6
19 mar 2019,desktop,382
19 mar 2019,tablet,5
19 mar 2019,mobile,385
20 mar 2019,tablet,3
20 mar 2019,desktop,695
20 mar 2019,mobile,585
21 mar 2019,mobile,552
21 mar 2019,tablet,1
21 mar 2019,desktop,607
22 mar 2019,tablet,3
22 mar 2019,mobile,402
22 mar 2019,desktop,450
23 mar 2019,tablet,1
23 mar 2019,desktop,143
23 mar 2019,mobile,292
24 mar 2019,tablet,3
24 mar 2019,desktop,151
24 mar 2019,mobile,306
25 mar 2019,desktop,737
25 mar 2019,mobile,643
25 mar 2019,tablet,2
26 mar 2019,desktop,603
26 mar 2019,tablet,6
26 mar 2019,mobile,689
27 mar 2019,desktop,619
27 mar 2019,mobile,488
27 mar 2019,tablet,3
28 mar 2019,mobile,557
28 mar 2019,desktop,529
28 mar 2019,tablet,3
29 mar 2019,desktop,433
29 mar 2019,mobile,471
29 mar 2019,tablet,2
30 mar 2019,mobile,322
30 mar 2019,desktop,178
30 mar 2019,tablet,1
31 mar 2019,desktop,240
31 mar 2019,tablet,13
31 mar 2019,mobile,285
1 abr 2019,desktop,591
1 abr 2019,mobile,369
1 abr 2019,tablet,5
2 abr 2019,mobile,335
2 abr 2019,desktop,335
2 abr 2019,tablet,5
3 abr 2019,mobile,403
3 abr 2019,tablet,13
3 abr 2019,desktop,607
4 abr 2019,desktop,585
4 abr 2019,tablet,17
4 abr 2019,mobile,442
5 abr 2019,desktop,468
5 abr 2019,mobile,350
6 abr 2019,tablet,3
6 abr 2019,desktop,187
6 abr 2019,mobile,232
7 abr 2019,tablet,2
7 abr 2019,desktop,184
7 abr 2019,mobile,226
8 abr 2019,tablet,3
8 abr 2019,mobile,362
8 abr 2019,desktop,515
9 abr 2019,tablet,3
9 abr 2019,mobile,342
9 abr 2019,desktop,446
10 abr 2019,tablet,2
10 abr 2019,desktop,538
10 abr 2019,mobile,355
11 abr 2019,desktop,547
11 abr 2019,tablet,18
11 abr 2019,mobile,442
12 abr 2019,desktop,392
12 abr 2019,mobile,318
13 abr 2019,desktop,200
13 abr 2019,mobile,270
13 abr 2019,tablet,3
14 abr 2019,mobile,235
14 abr 2019,tablet,2
14 abr 2019,desktop,159
15 abr 2019,desktop,470
15 abr 2019,tablet,12
15 abr 2019,mobile,429
16 abr 2019,mobile,433
16 abr 2019,tablet,8
16 abr 2019,desktop,460
17 abr 2019,desktop,308
17 abr 2019,mobile,250
17 abr 2019,tablet,3
18 abr 2019,mobile,93
18 abr 2019,desktop,61
19 abr 2019,mobile,192
19 abr 2019,tablet,1
19 abr 2019,desktop,162
20 abr 2019,tablet,1
20 abr 2019,mobile,170
20 abr 2019,desktop,105
21 abr 2019,tablet,4
21 abr 2019,mobile,179
21 abr 2019,desktop,169
22 abr 2019,mobile,335
22 abr 2019,desktop,548
22 abr 2019,tablet,2
23 abr 2019,desktop,463
23 abr 2019,mobile,318
24 abr 2019,mobile,305
24 abr 2019,tablet,2
24 abr 2019,desktop,513
25 abr 2019,tablet,24
25 abr 2019,desktop,513
25 abr 2019,mobile,539
26 abr 2019,tablet,4
26 abr 2019,desktop,599
26 abr 2019,mobile,948
27 abr 2019,desktop,133
27 abr 2019,mobile,457
28 abr 2019,desktop,191
28 abr 2019,tablet,2
28 abr 2019,mobile,283
29 abr 2019,tablet,5
29 abr 2019,mobile,528
29 abr 2019,desktop,542
30 abr 2019,tablet,3
30 abr 2019,desktop,323
30 abr 2019,mobile,340
1 may 2019,desktop,218
1 may 2019,mobile,205
1 may 2019,tablet,6
2 may 2019,mobile,292
2 may 2019,tablet,1
2 may 2019,desktop,488
3 may 2019,tablet,1
3 may 2019,mobile,573
3 may 2019,desktop,444
4 may 2019,desktop,105
4 may 2019,mobile,261
5 may 2019,mobile,211
5 may 2019,desktop,226
5 may 2019,tablet,2
6 may 2019,tablet,2
6 may 2019,desktop,624
6 may 2019,mobile,876
7 may 2019,mobile,748
7 may 2019,tablet,3
7 may 2019,desktop,701
8 may 2019,mobile,397
8 may 2019,tablet,7
8 may 2019,desktop,501
