Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
1 dic 2018,434,150,226,1.075221238938053,243
2 dic 2018,559,212,293,1.0853242320819112,318
3 dic 2018,1348,407,591,1.1099830795262267,656
4 dic 2018,1449,521,706,1.0892351274787535,769
5 dic 2018,1246,421,605,1.112396694214876,673
6 dic 2018,1071,341,487,1.1314168377823408,551
7 dic 2018,759,244,364,1.065934065934066,388
8 dic 2018,427,164,231,1.0822510822510822,250
9 dic 2018,503,191,265,1.090566037735849,289
10 dic 2018,1230,364,556,1.120503597122302,623
11 dic 2018,1178,346,553,1.104882459312839,611
12 dic 2018,1164,404,581,1.1118760757314974,646
13 dic 2018,998,353,496,1.1048387096774193,548
14 dic 2018,1267,422,617,1.1037277147487845,681
15 dic 2018,480,179,267,1.0636704119850187,284
16 dic 2018,558,175,267,1.1086142322097379,296
17 dic 2018,1326,393,571,1.1243432574430823,642
18 dic 2018,1230,426,607,1.100494233937397,668
19 dic 2018,1107,335,515,1.1359223300970873,585
20 dic 2018,1344,583,781,1.0768245838668373,841
21 dic 2018,832,287,408,1.0955882352941178,447
22 dic 2018,421,177,251,1.0318725099601593,259
23 dic 2018,266,137,181,1.0331491712707181,187
24 dic 2018,226,100,137,1.1167883211678833,153
25 dic 2018,275,110,136,1.0588235294117647,144
26 dic 2018,526,200,270,1.1,297
27 dic 2018,502,208,274,1.0547445255474452,289
28 dic 2018,479,169,230,1.0565217391304347,243
29 dic 2018,321,102,150,1.0733333333333333,161
30 dic 2018,275,101,147,1.1088435374149659,163
31 dic 2018,207,84,117,1.0427350427350428,122
1 ene 2019,207,91,124,1.064516129032258,132
2 ene 2019,573,196,265,1.0716981132075472,284
3 ene 2019,591,198,282,1.1099290780141844,313
4 ene 2019,472,184,251,1.0796812749003983,271
5 ene 2019,361,151,187,1.0802139037433156,202
6 ene 2019,509,179,226,1.1283185840707965,255
7 ene 2019,647,266,346,1.0751445086705202,372
8 ene 2019,701,250,328,1.100609756097561,361
9 ene 2019,567,244,317,1.0694006309148265,339
10 ene 2019,668,232,311,1.090032154340836,339
11 ene 2019,479,194,272,1.0845588235294117,295
12 ene 2019,425,151,210,1.0857142857142856,228
13 ene 2019,316,124,173,1.1040462427745665,191
14 ene 2019,734,288,375,1.0853333333333333,407
15 ene 2019,722,234,321,1.1059190031152648,355
16 ene 2019,737,231,310,1.0774193548387097,334
17 ene 2019,546,197,274,1.072992700729927,294
18 ene 2019,591,193,273,1.0915750915750915,298
19 ene 2019,439,142,205,1.0682926829268293,219
20 ene 2019,486,157,232,1.0948275862068966,254
21 ene 2019,804,244,361,1.113573407202216,402
22 ene 2019,686,250,338,1.0917159763313609,369
23 ene 2019,565,201,285,1.0842105263157895,309
24 ene 2019,658,256,335,1.0925373134328358,366
25 ene 2019,607,237,326,1.0644171779141105,347
26 ene 2019,444,152,218,1.1055045871559632,241
27 ene 2019,410,161,209,1.0478468899521531,219
28 ene 2019,970,346,458,1.0807860262008733,495
29 ene 2019,852,294,408,1.107843137254902,452
30 ene 2019,866,268,390,1.087179487179487,424
31 ene 2019,640,196,286,1.0804195804195804,309
1 feb 2019,765,259,370,1.0837837837837838,401
2 feb 2019,516,170,248,1.0725806451612903,266
3 feb 2019,647,209,293,1.1023890784982935,323
4 feb 2019,1680,443,671,1.1684053651266766,784
5 feb 2019,1394,442,640,1.103125,706
6 feb 2019,2063,517,771,1.1997405966277561,925
7 feb 2019,2632,520,839,1.2657926102502979,1062
8 feb 2019,1715,374,626,1.2284345047923322,769
9 feb 2019,654,218,323,1.1238390092879258,363
10 feb 2019,1026,272,414,1.1570048309178744,479
11 feb 2019,2097,606,930,1.1526881720430107,1072
12 feb 2019,1899,571,863,1.1263035921205098,972
