Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
3 oct 2022,desktop,5,3,4,1.6666666666666667,5
4 oct 2022,desktop,16,7,9,1.3333333333333333,12
4 oct 2022,mobile,12,4,7,2,8
4 oct 2022,tablet,2,1,1,2,2
5 oct 2022,mobile,51,15,20,1.5294117647058822,26
5 oct 2022,desktop,8,5,7,2.4,12
6 oct 2022,mobile,9,5,5,1,5
6 oct 2022,desktop,5,1,1,1,1
7 oct 2022,desktop,4,3,3,2,6
7 oct 2022,mobile,5,2,5,2.5,5
12 oct 2022,mobile,45,12,18,1.375,22
12 oct 2022,desktop,9,5,7,1.1428571428571428,8
13 oct 2022,mobile,22,7,12,1.3,13
13 oct 2022,desktop,12,6,8,1.25,10
14 oct 2022,desktop,5,4,5,1,5
14 oct 2022,mobile,9,3,5,1.5,6
15 oct 2022,mobile,15,8,9,1.25,10
15 oct 2022,desktop,2,2,3,1.5,3
16 oct 2022,mobile,6,4,5,1.25,5
16 oct 2022,desktop,2,1,1,1,1
17 oct 2022,desktop,5,4,5,1.2,6
17 oct 2022,mobile,4,4,4,1,4
18 oct 2022,mobile,13,4,4,1,4
18 oct 2022,desktop,9,4,6,1,6
19 oct 2022,mobile,41,11,17,1.4285714285714286,20
19 oct 2022,desktop,11,11,11,1.1818181818181819,13
20 oct 2022,desktop,14,5,6,1.1666666666666667,7
20 oct 2022,mobile,13,4,8,1.3333333333333333,8
21 oct 2022,mobile,34,19,22,1.3,26
21 oct 2022,desktop,13,5,7,1.3333333333333333,8
22 oct 2022,mobile,19,10,11,1,11
22 oct 2022,desktop,4,4,4,1.25,5
23 oct 2022,desktop,7,4,4,1.25,5
23 oct 2022,mobile,1,1,1,1,1
24 oct 2022,desktop,16,6,9,1.2222222222222223,11
24 oct 2022,mobile,6,3,4,1,4
25 oct 2022,desktop,16,8,9,1.1111111111111112,10
25 oct 2022,mobile,13,8,9,1.2222222222222223,11
26 oct 2022,desktop,18,7,11,1.0909090909090908,12
26 oct 2022,mobile,21,8,13,1.3636363636363635,15
27 oct 2022,mobile,17,6,9,1.125,9
27 oct 2022,desktop,7,5,5,1,5
28 oct 2022,desktop,14,7,7,1.1428571428571428,8
28 oct 2022,mobile,5,2,3,1.3333333333333333,4
29 oct 2022,mobile,5,4,5,1.25,5
29 oct 2022,desktop,4,3,3,1.3333333333333333,4
30 oct 2022,mobile,12,4,4,1,4
30 oct 2022,desktop,10,3,3,1,3
31 oct 2022,desktop,11,5,7,1.3333333333333333,8
31 oct 2022,mobile,9,4,6,1,6
1 nov 2022,desktop,19,9,12,1.3,13
1 nov 2022,mobile,8,2,3,2.5,5
2 nov 2022,mobile,36,11,18,1.2666666666666666,19
2 nov 2022,desktop,8,4,4,1.5,6
3 nov 2022,desktop,6,3,5,1,5
3 nov 2022,mobile,8,1,4,2,4
4 nov 2022,desktop,3,3,3,1,3
4 nov 2022,mobile,3,2,3,1.5,3
5 nov 2022,mobile,3,2,3,1.5,3
5 nov 2022,desktop,1,1,1,1,1
6 nov 2022,desktop,4,2,2,1,2
6 nov 2022,mobile,1,1,1,1,1
7 nov 2022,mobile,21,5,6,1.2,6
7 nov 2022,desktop,8,7,8,1.125,9
8 nov 2022,desktop,5,3,4,1.6666666666666667,5
8 nov 2022,mobile,5,2,4,1.3333333333333333,4
9 nov 2022,mobile,36,18,21,1.263157894736842,24
9 nov 2022,desktop,8,6,7,1.2857142857142858,9
10 nov 2022,mobile,14,4,8,1.7142857142857142,12
10 nov 2022,desktop,3,2,3,1.5,3
11 nov 2022,desktop,4,3,4,1.25,5
11 nov 2022,mobile,13,3,5,1.5,6
12 nov 2022,desktop,7,5,6,1.1666666666666667,7
12 nov 2022,mobile,4,3,3,1,3
13 nov 2022,mobile,6,2,5,2,6
14 nov 2022,desktop,9,7,7,1.1428571428571428,8
14 nov 2022,mobile,8,5,6,1.2,6
15 nov 2022,mobile,12,6,6,1,6
15 nov 2022,desktop,6,4,6,1.2,6
16 nov 2022,desktop,13,7,8,1.4285714285714286,10
16 nov 2022,mobile,12,5,6,1.4,7
17 nov 2022,mobile,16,6,7,1.6666666666666667,10
17 nov 2022,desktop,4,3,5,1,5
18 nov 2022,mobile,19,9,11,1.2,12
18 nov 2022,desktop,7,4,6,1,6
19 nov 2022,mobile,23,12,12,1.0833333333333333,13
19 nov 2022,desktop,2,1,2,1,2
20 nov 2022,mobile,10,7,7,1,7
20 nov 2022,desktop,2,1,1,1,1
21 nov 2022,mobile,7,4,7,1.75,7
21 nov 2022,desktop,4,3,3,1.3333333333333333,4
22 nov 2022,mobile,12,8,11,1.375,11
22 nov 2022,desktop,1,1,1,1,1
23 nov 2022,mobile,48,16,18,1.2222222222222223,22
23 nov 2022,desktop,16,8,8,1.25,10
24 nov 2022,desktop,6,4,5,1.5,6
24 nov 2022,mobile,4,2,4,1.3333333333333333,4
25 nov 2022,mobile,8,1,3,2,4
25 nov 2022,desktop,1,0,1,1,1
26 nov 2022,mobile,19,11,12,1.0909090909090908,12
26 nov 2022,desktop,6,6,6,1.1666666666666667,7
27 nov 2022,mobile,2,0,2,null,2
28 nov 2022,desktop,11,5,5,1,5
28 nov 2022,mobile,11,2,5,3,6
29 nov 2022,mobile,6,3,5,1.6666666666666667,5
29 nov 2022,desktop,3,2,3,1,3
30 nov 2022,mobile,15,4,7,1.4,7
30 nov 2022,desktop,2,1,2,1,2
30 nov 2022,tablet,1,1,1,1,1
1 dic 2022,desktop,13,9,10,1.1,11
1 dic 2022,mobile,9,5,7,1.1666666666666667,7
2 dic 2022,desktop,3,2,3,1,3
3 dic 2022,mobile,5,3,3,1,3
