Fecha,Categoría de dispositivo,Número de vistas de página
19 feb 2019,mobile,2
20 feb 2019,mobile,7
20 feb 2019,desktop,13
21 feb 2019,desktop,16
21 feb 2019,mobile,3
21 feb 2019,tablet,1
22 feb 2019,mobile,9
22 feb 2019,desktop,7
23 feb 2019,mobile,8
23 feb 2019,desktop,6
24 feb 2019,desktop,3
24 feb 2019,mobile,1
25 feb 2019,mobile,6
25 feb 2019,desktop,18
26 feb 2019,mobile,7
26 feb 2019,desktop,12
27 feb 2019,mobile,3
27 feb 2019,desktop,5
28 feb 2019,mobile,4
28 feb 2019,desktop,20
1 mar 2019,mobile,1
1 mar 2019,desktop,5
2 mar 2019,desktop,3
2 mar 2019,mobile,22
3 mar 2019,desktop,1
3 mar 2019,mobile,4
4 mar 2019,mobile,8
4 mar 2019,desktop,5
5 mar 2019,mobile,6
5 mar 2019,desktop,5
6 mar 2019,desktop,20
6 mar 2019,tablet,2
6 mar 2019,mobile,3
7 mar 2019,desktop,11
7 mar 2019,mobile,10
8 mar 2019,desktop,7
8 mar 2019,mobile,3
9 mar 2019,desktop,26
9 mar 2019,mobile,5
10 mar 2019,mobile,3
10 mar 2019,desktop,3
11 mar 2019,desktop,24
11 mar 2019,mobile,11
12 mar 2019,mobile,8
12 mar 2019,desktop,20
13 mar 2019,desktop,12
13 mar 2019,mobile,15
14 mar 2019,mobile,6
14 mar 2019,desktop,14
15 mar 2019,tablet,1
15 mar 2019,mobile,17
15 mar 2019,desktop,22
16 mar 2019,desktop,13
16 mar 2019,mobile,7
17 mar 2019,mobile,6
17 mar 2019,desktop,1
18 mar 2019,mobile,9
18 mar 2019,desktop,19
19 mar 2019,desktop,7
19 mar 2019,mobile,4
20 mar 2019,desktop,26
20 mar 2019,mobile,21
21 mar 2019,mobile,17
21 mar 2019,desktop,18
22 mar 2019,desktop,15
22 mar 2019,mobile,10
23 mar 2019,desktop,14
23 mar 2019,mobile,4
24 mar 2019,desktop,2
24 mar 2019,mobile,22
25 mar 2019,mobile,42
25 mar 2019,desktop,26
26 mar 2019,mobile,22
26 mar 2019,desktop,223
27 mar 2019,desktop,44
27 mar 2019,mobile,13
28 mar 2019,desktop,105
28 mar 2019,mobile,14
29 mar 2019,mobile,32
29 mar 2019,desktop,12
30 mar 2019,desktop,5
30 mar 2019,mobile,2
31 mar 2019,desktop,13
31 mar 2019,mobile,4
1 abr 2019,desktop,5
1 abr 2019,mobile,8
2 abr 2019,desktop,8
2 abr 2019,mobile,6
3 abr 2019,mobile,14
3 abr 2019,desktop,13
4 abr 2019,mobile,5
4 abr 2019,desktop,10
5 abr 2019,mobile,4
5 abr 2019,desktop,9
6 abr 2019,desktop,6
6 abr 2019,mobile,26
7 abr 2019,mobile,18
7 abr 2019,desktop,21
8 abr 2019,desktop,17
8 abr 2019,mobile,6
9 abr 2019,desktop,29
9 abr 2019,mobile,4
10 abr 2019,mobile,21
10 abr 2019,desktop,25
11 abr 2019,mobile,8
11 abr 2019,desktop,19
12 abr 2019,mobile,12
12 abr 2019,desktop,29
13 abr 2019,desktop,7
13 abr 2019,mobile,16
14 abr 2019,mobile,11
14 abr 2019,desktop,7
15 abr 2019,mobile,14
15 abr 2019,desktop,14
16 abr 2019,desktop,45
16 abr 2019,mobile,6
17 abr 2019,mobile,2
17 abr 2019,desktop,7
18 abr 2019,desktop,1
18 abr 2019,mobile,1
19 abr 2019,mobile,33
19 abr 2019,desktop,4
20 abr 2019,desktop,12
20 abr 2019,mobile,3
21 abr 2019,desktop,10
21 abr 2019,mobile,12
22 abr 2019,mobile,19
22 abr 2019,desktop,9
23 abr 2019,desktop,19
23 abr 2019,mobile,11
24 abr 2019,mobile,31
24 abr 2019,desktop,31
25 abr 2019,desktop,9
25 abr 2019,mobile,17
26 abr 2019,desktop,29
26 abr 2019,mobile,11
27 abr 2019,desktop,21
27 abr 2019,tablet,1
28 abr 2019,mobile,9
28 abr 2019,desktop,17
29 abr 2019,desktop,17
29 abr 2019,mobile,5
30 abr 2019,desktop,40
30 abr 2019,mobile,2
1 may 2019,desktop,2
1 may 2019,mobile,15
2 may 2019,mobile,35
2 may 2019,desktop,25
3 may 2019,mobile,10
3 may 2019,desktop,9
4 may 2019,desktop,29
4 may 2019,mobile,3
5 may 2019,mobile,4
5 may 2019,desktop,9
6 may 2019,mobile,4
6 may 2019,desktop,33
7 may 2019,mobile,12
7 may 2019,desktop,35
8 may 2019,mobile,68
8 may 2019,desktop,166
9 may 2019,desktop,85
9 may 2019,mobile,50
10 may 2019,mobile,36
10 may 2019,desktop,138
11 may 2019,desktop,6
11 may 2019,mobile,15
12 may 2019,tablet,1
12 may 2019,mobile,12
12 may 2019,desktop,23
13 may 2019,desktop,36
13 may 2019,mobile,13
14 may 2019,desktop,28
14 may 2019,mobile,27
14 may 2019,tablet,1
15 may 2019,mobile,7
15 may 2019,desktop,11
16 may 2019,desktop,27
16 may 2019,mobile,11
17 may 2019,desktop,61
17 may 2019,mobile,7
18 may 2019,mobile,7
18 may 2019,desktop,3
19 may 2019,mobile,8
19 may 2019,tablet,2
19 may 2019,desktop,19
20 may 2019,tablet,2
20 may 2019,mobile,15
20 may 2019,desktop,45
21 may 2019,mobile,66
21 may 2019,desktop,65
22 may 2019,mobile,22
22 may 2019,desktop,125
23 may 2019,mobile,25
23 may 2019,desktop,10
24 may 2019,mobile,26
24 may 2019,desktop,203
25 may 2019,desktop,22
25 may 2019,mobile,16
26 may 2019,mobile,1
26 may 2019,tablet,1
26 may 2019,desktop,14
27 may 2019,desktop,30
27 may 2019,mobile,2
28 may 2019,desktop,26
28 may 2019,mobile,51
29 may 2019,mobile,13
29 may 2019,desktop,12
30 may 2019,desktop,56
30 may 2019,mobile,46
31 may 2019,mobile,7
31 may 2019,desktop,74
1 jun 2019,mobile,12
1 jun 2019,desktop,11
2 jun 2019,mobile,3
2 jun 2019,desktop,12
3 jun 2019,desktop,19
3 jun 2019,mobile,29
3 jun 2019,tablet,1
4 jun 2019,desktop,16
4 jun 2019,mobile,27
5 jun 2019,desktop,140
5 jun 2019,mobile,49
6 jun 2019,mobile,9
6 jun 2019,desktop,83
7 jun 2019,desktop,59
7 jun 2019,mobile,18
8 jun 2019,desktop,10
8 jun 2019,tablet,1
8 jun 2019,mobile,40
9 jun 2019,mobile,22
9 jun 2019,tablet,1
9 jun 2019,desktop,6
10 jun 2019,tablet,1
10 jun 2019,mobile,27
10 jun 2019,desktop,31
11 jun 2019,desktop,42
11 jun 2019,mobile,54
12 jun 2019,mobile,13
12 jun 2019,desktop,34
13 jun 2019,mobile,8
13 jun 2019,desktop,642
14 jun 2019,desktop,34
14 jun 2019,mobile,16
15 jun 2019,desktop,17
15 jun 2019,mobile,35
16 jun 2019,mobile,10
17 jun 2019,mobile,34
17 jun 2019,desktop,60
18 jun 2019,mobile,50
18 jun 2019,desktop,51
19 jun 2019,desktop,24
19 jun 2019,mobile,19
20 jun 2019,desktop,3
20 jun 2019,mobile,9
