Fecha,Agrupación de canales predeterminada,Número de vistas de página
9 may 2019,Direct,6
9 may 2019,Social,11
10 may 2019,Organic Search,83
10 may 2019,Direct,17
10 may 2019,Social,14
10 may 2019,Referral,19
11 may 2019,Referral,2
11 may 2019,Direct,5
11 may 2019,Social,58
11 may 2019,Organic Search,56
12 may 2019,Direct,3
12 may 2019,Social,12
12 may 2019,Referral,4
12 may 2019,Organic Search,79
13 may 2019,Organic Search,67
13 may 2019,Direct,12
13 may 2019,Referral,22
13 may 2019,Social,14
14 may 2019,Organic Search,82
14 may 2019,Referral,3
14 may 2019,Direct,3
14 may 2019,Social,14
15 may 2019,Referral,1
15 may 2019,Direct,18
15 may 2019,Organic Search,133
15 may 2019,Social,24
16 may 2019,Organic Search,105
16 may 2019,Social,1
16 may 2019,Direct,11
16 may 2019,Referral,12
17 may 2019,Social,7
17 may 2019,Organic Search,145
17 may 2019,Referral,9
17 may 2019,Direct,8
18 may 2019,Social,1
18 may 2019,Direct,1
18 may 2019,Referral,1
18 may 2019,Organic Search,47
19 may 2019,Organic Search,119
19 may 2019,Direct,2
20 may 2019,Referral,2
20 may 2019,Direct,11
20 may 2019,Social,9
20 may 2019,Organic Search,54
21 may 2019,Direct,4
21 may 2019,Referral,5
21 may 2019,Social,6
21 may 2019,Organic Search,201
22 may 2019,Direct,6
22 may 2019,Organic Search,105
22 may 2019,Social,5
23 may 2019,Referral,1
23 may 2019,Organic Search,63
23 may 2019,Direct,19
23 may 2019,Social,6
24 may 2019,Social,7
24 may 2019,Direct,14
24 may 2019,Organic Search,68
25 may 2019,Direct,5
25 may 2019,Social,5
25 may 2019,Organic Search,28
26 may 2019,Direct,4
26 may 2019,Organic Search,62
27 may 2019,Organic Search,94
27 may 2019,Direct,25
28 may 2019,Social,1
28 may 2019,Direct,38
28 may 2019,Referral,1
28 may 2019,Organic Search,77
29 may 2019,Organic Search,149
29 may 2019,Social,1
29 may 2019,Referral,17
29 may 2019,Direct,15
30 may 2019,Organic Search,69
30 may 2019,Social,6
30 may 2019,Referral,11
30 may 2019,Direct,23
31 may 2019,Referral,8
31 may 2019,Social,8
31 may 2019,Organic Search,112
31 may 2019,Direct,3
1 jun 2019,Organic Search,53
1 jun 2019,Social,5
1 jun 2019,Direct,17
2 jun 2019,Organic Search,67
2 jun 2019,Referral,6
3 jun 2019,Organic Search,98
3 jun 2019,Social,1
3 jun 2019,Direct,32
3 jun 2019,Referral,4
4 jun 2019,Social,34
4 jun 2019,Direct,10
4 jun 2019,Referral,6
4 jun 2019,Organic Search,169
5 jun 2019,Referral,10
5 jun 2019,Organic Search,75
5 jun 2019,Direct,12
5 jun 2019,Social,13
6 jun 2019,Organic Search,107
6 jun 2019,Social,21
6 jun 2019,Direct,2
7 jun 2019,Direct,4
7 jun 2019,Organic Search,76
7 jun 2019,Referral,5
8 jun 2019,Organic Search,156
8 jun 2019,Direct,6
9 jun 2019,Referral,12
9 jun 2019,Social,19
9 jun 2019,Direct,5
9 jun 2019,Organic Search,93
10 jun 2019,Organic Search,107
10 jun 2019,Social,5
10 jun 2019,Direct,7
11 jun 2019,Social,10
11 jun 2019,Organic Search,85
11 jun 2019,Referral,9
12 jun 2019,Social,9
12 jun 2019,Organic Search,357
12 jun 2019,Direct,8
12 jun 2019,Referral,8
13 jun 2019,Organic Search,119
13 jun 2019,Social,9
13 jun 2019,Referral,1
13 jun 2019,Direct,12
14 jun 2019,Direct,1
14 jun 2019,Organic Search,57
14 jun 2019,Social,4
15 jun 2019,Direct,2
15 jun 2019,Social,8
15 jun 2019,Organic Search,31
16 jun 2019,Organic Search,10
16 jun 2019,Direct,9
17 jun 2019,Referral,4
17 jun 2019,Organic Search,21
17 jun 2019,Social,1
17 jun 2019,Direct,5
18 jun 2019,Organic Search,128
18 jun 2019,Referral,6
18 jun 2019,Social,6
18 jun 2019,Direct,23
19 jun 2019,Organic Search,20
19 jun 2019,Social,4
19 jun 2019,Direct,9
20 jun 2019,Organic Search,57
20 jun 2019,Social,3
20 jun 2019,Direct,13
21 jun 2019,Social,25
21 jun 2019,Organic Search,119
21 jun 2019,Referral,13
21 jun 2019,Direct,26
22 jun 2019,Organic Search,24
22 jun 2019,Social,1
23 jun 2019,Direct,7
23 jun 2019,Organic Search,35
23 jun 2019,Social,1
24 jun 2019,Organic Search,62
24 jun 2019,Social,5
24 jun 2019,Referral,3
24 jun 2019,Direct,1
25 jun 2019,Referral,1
25 jun 2019,Direct,1
25 jun 2019,Social,17
25 jun 2019,Organic Search,96
26 jun 2019,Organic Search,119
26 jun 2019,Social,10
26 jun 2019,Direct,1
27 jun 2019,Organic Search,83
27 jun 2019,Direct,16
27 jun 2019,Referral,1
27 jun 2019,Social,3
28 jun 2019,Direct,1
28 jun 2019,Social,25
28 jun 2019,Organic Search,72
29 jun 2019,Organic Search,62
29 jun 2019,Direct,8
30 jun 2019,Organic Search,48
30 jun 2019,Social,2
30 jun 2019,Direct,64
1 jul 2019,Organic Search,85
1 jul 2019,Social,2
1 jul 2019,Direct,10
2 jul 2019,Referral,1
2 jul 2019,Direct,34
2 jul 2019,Social,42
2 jul 2019,Organic Search,61
3 jul 2019,Social,47
3 jul 2019,Direct,13
3 jul 2019,Organic Search,78
3 jul 2019,Referral,3
4 jul 2019,Organic Search,44
4 jul 2019,Direct,29
4 jul 2019,Social,13
5 jul 2019,Organic Search,85
5 jul 2019,Direct,19
5 jul 2019,Social,10
6 jul 2019,Social,1
6 jul 2019,Organic Search,83
7 jul 2019,Direct,1
7 jul 2019,Organic Search,3
7 jul 2019,Social,1
8 jul 2019,Organic Search,60
8 jul 2019,Referral,1
8 jul 2019,Direct,3
9 jul 2019,Organic Search,67
9 jul 2019,Direct,2
10 jul 2019,Direct,2
10 jul 2019,Referral,6
10 jul 2019,Organic Search,95
11 jul 2019,Organic Search,92
11 jul 2019,Direct,12
12 jul 2019,Direct,23
12 jul 2019,Organic Search,34
13 jul 2019,Organic Search,75
14 jul 2019,Direct,1
14 jul 2019,Organic Search,15
15 jul 2019,Organic Search,28
15 jul 2019,Direct,28
16 jul 2019,Organic Search,26
16 jul 2019,Direct,5
17 jul 2019,Referral,1
17 jul 2019,Organic Search,21
17 jul 2019,Direct,3
18 jul 2019,Organic Search,50
18 jul 2019,Direct,1
19 jul 2019,Organic Search,93
19 jul 2019,Social,2
19 jul 2019,Direct,1
20 jul 2019,Direct,7
20 jul 2019,Organic Search,22
21 jul 2019,Organic Search,30
21 jul 2019,Direct,3
22 jul 2019,Organic Search,148
22 jul 2019,Direct,2
22 jul 2019,Social,49
23 jul 2019,Organic Search,2
24 jul 2019,Social,4
24 jul 2019,Referral,1
24 jul 2019,Organic Search,49
25 jul 2019,Referral,1
25 jul 2019,Organic Search,39
25 jul 2019,Direct,9
25 jul 2019,Social,1
26 jul 2019,Social,1
26 jul 2019,Direct,12
26 jul 2019,Organic Search,72
27 jul 2019,Direct,1
27 jul 2019,Organic Search,19
28 jul 2019,Direct,3
28 jul 2019,Organic Search,39
29 jul 2019,Social,4
29 jul 2019,Direct,6
29 jul 2019,Organic Search,120
29 jul 2019,Referral,1
30 jul 2019,Social,6
30 jul 2019,Direct,23
30 jul 2019,Organic Search,166
31 jul 2019,Referral,1
31 jul 2019,Direct,5
31 jul 2019,Organic Search,79
1 ago 2019,Organic Search,141
1 ago 2019,Direct,28
1 ago 2019,Social,3
1 ago 2019,Referral,2
2 ago 2019,Organic Search,142
2 ago 2019,Social,13
2 ago 2019,Direct,8
3 ago 2019,Organic Search,74
3 ago 2019,Referral,2
3 ago 2019,Direct,1
4 ago 2019,Direct,1
4 ago 2019,Organic Search,31
5 ago 2019,Organic Search,35
