,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,BlackBerry,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
813,13 nov 2020,11,3,6,1.0,6,11,0,3,8,0,3.6666666666666665,3.2998316455372216,8,3,0,0,0,0,0,0,0,0,1.1,2.467792535850613,3,2,6,0,2.75,2.165063509461097
814,14 nov 2020,9,6,9,1.0,9,7,2,3,6,0,3.0,2.449489742783178,5,2,1,0,0,1,0,0,0,0,0.9,1.5132745950421556,2,0,7,0,2.25,2.8613807855648994
815,15 nov 2020,1,1,1,1.0,1,1,0,1,0,0,0.3333333333333333,0.4714045207910317,0,1,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,0,1,0,0,0.25,0.4330127018922193
816,16 nov 2020,247,30,37,1.1891891891891893,44,239,8,53,194,0,82.33333333333333,81.8711725144381,194,40,0,0,0,13,0,0,0,0,24.7,57.709704556512854,12,176,59,0,61.75,69.54989216382725
817,17 nov 2020,39,28,35,1.0285714285714285,36,33,6,27,12,0,13.0,11.04536101718726,12,22,0,0,0,5,0,0,0,0,3.9,7.077428911688198,7,16,15,1,9.75,6.139014578904338
818,18 nov 2020,34,12,13,1.0769230769230769,14,34,0,5,26,3,11.333333333333336,10.402991022884825,26,5,0,0,0,3,0,0,0,0,3.4,7.7097341069585505,21,3,10,0,8.5,8.077747210701755
819,19 nov 2020,37,17,21,1.0952380952380951,23,36,1,23,14,0,12.333333333333336,9.463379711052259,14,21,0,0,0,2,0,0,0,0,3.7,7.1000000000000005,1,15,21,0,9.25,9.010410645470051
820,20 nov 2020,53,18,22,1.2272727272727273,27,51,2,34,19,0,17.666666666666668,13.912424503139473,15,30,4,0,0,4,0,0,0,0,5.3,9.36002136749698,21,14,14,4,13.25,6.057020719792859
821,21 nov 2020,34,5,11,1.181818181818182,13,34,0,29,5,0,11.333333333333336,12.657891697365015,5,28,0,0,0,1,0,0,0,0,3.4,8.333066662399862,29,1,4,0,8.5,11.926860441876563
822,22 nov 2020,11,1,6,1.3333333333333333,8,10,1,6,5,0,3.6666666666666665,2.6246692913372702,5,6,0,0,0,0,0,0,0,0,1.1,2.2113344387495983,8,1,2,0,2.75,3.112474899497183
823,23 nov 2020,3,3,3,1.0,3,3,0,3,0,0,1.0,1.4142135623730951,0,3,0,0,0,0,0,0,0,0,0.3,0.9,0,2,1,0,0.75,0.82915619758885
824,24 nov 2020,102,41,44,1.25,55,101,1,95,7,0,34.0,43.22807729551092,7,86,0,0,0,9,0,0,0,0,10.2,25.46684118613849,11,71,17,3,25.5,26.7348087705897
825,25 nov 2020,22,4,10,1.4,14,20,2,18,4,0,7.333333333333332,7.717224601860151,4,18,0,0,0,0,0,0,0,0,2.2,5.399999999999999,10,0,12,0,5.5,5.54526825320471
826,26 nov 2020,7,4,6,1.1666666666666667,7,6,1,6,1,0,2.333333333333333,2.6246692913372702,1,5,0,0,0,1,0,0,0,0,0.7,1.4866068747318502,3,1,3,0,1.75,1.299038105676658
827,27 nov 2020,6,5,5,1.0,5,3,3,4,2,0,2.0,1.6329931618554518,2,2,0,0,0,2,0,0,0,0,0.6,0.916515138991168,3,0,3,0,1.5,1.5
828,28 nov 2020,4,4,4,1.0,4,4,0,1,3,0,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0,0,0,0,0.4,0.916515138991168,0,0,3,1,1.0,1.224744871391589
829,29 nov 2020,8,4,4,1.0,4,8,0,1,7,0,2.6666666666666665,3.091206165165235,7,1,0,0,0,0,0,0,0,0,0.8,2.08806130178211,7,0,1,0,2.0,2.9154759474226504
830,30 nov 2020,19,10,12,1.0833333333333333,13,19,0,6,13,0,6.333333333333332,5.312459150169743,12,6,1,0,0,0,0,0,0,0,1.9,3.8065732621348567,7,0,10,2,4.75,3.960744879438715
831,1 dic 2020,4,2,3,1.0,3,4,0,2,2,0,1.3333333333333333,0.9428090415820634,2,2,0,0,0,0,0,0,0,0,0.4,0.8000000000000002,2,0,2,0,1.0,1.0
832,2 dic 2020,7,3,6,1.1666666666666667,7,6,1,3,4,0,2.333333333333333,1.699673171197595,1,3,3,0,0,0,0,0,0,0,0.7,1.1874342087037917,1,0,5,1,1.75,1.9202864369671517
833,3 dic 2020,14,5,7,1.0,7,14,0,2,12,0,4.666666666666667,5.2493385826745405,10,2,1,1,0,0,0,0,0,0,1.4,2.939387691339813,2,2,10,0,3.5,3.8405728739343035
834,4 dic 2020,12,4,4,1.0,4,12,0,1,11,0,4.0,4.966554808583781,11,1,0,0,0,0,0,0,0,0,1.2,3.2802438933713454,10,0,1,1,3.0,4.0620192023179795
835,5 dic 2020,2,2,2,1.0,2,2,0,1,1,0,0.6666666666666666,0.4714045207910317,1,0,0,0,0,1,0,0,0,0,0.2,0.4000000000000001,1,0,1,0,0.5,0.5
836,6 dic 2020,8,2,3,1.0,3,2,6,0,8,0,2.6666666666666665,3.771236166328253,8,0,0,0,0,0,0,0,0,0,0.8,2.4000000000000004,1,0,1,6,2.0,2.345207879911715
837,7 dic 2020,13,5,7,1.2857142857142858,9,10,3,0,13,0,4.333333333333333,6.128258770283412,11,0,2,0,0,0,0,0,0,0,1.3,3.287856444554719,6,2,4,1,3.25,1.9202864369671517
838,8 dic 2020,14,9,10,1.1,11,8,6,1,13,0,4.666666666666667,5.9066817155564495,10,1,3,0,0,0,0,0,0,0,1.4,3.006659275674581,7,0,5,2,3.5,2.6925824035672523
839,9 dic 2020,20,8,13,1.0,13,19,1,3,17,0,6.666666666666668,7.4087035902976215,14,3,3,0,0,0,0,0,0,0,2.0,4.171330722922842,4,4,10,2,5.0,3.0
840,10 dic 2020,11,7,8,1.0,8,11,0,4,7,0,3.6666666666666665,2.867441755680876,7,4,0,0,0,0,0,0,0,0,1.1,2.3000000000000003,6,0,3,2,2.75,2.165063509461097
841,11 dic 2020,4,3,3,1.0,3,4,0,2,2,0,1.3333333333333333,0.9428090415820634,2,2,0,0,0,0,0,0,0,0,0.4,0.8000000000000002,2,0,1,1,1.0,0.7071067811865476
842,12 dic 2020,13,7,9,1.2222222222222223,11,10,3,3,10,0,4.333333333333333,4.189935029992179,10,1,0,0,0,2,0,0,0,0,1.3,2.9681644159311653,8,0,2,3,3.25,2.9474565306378993
843,13 dic 2020,4,4,4,1.0,4,4,0,1,3,0,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0,0,0,0,0.4,0.916515138991168,1,0,3,0,1.0,1.224744871391589
844,14 dic 2020,15,2,5,1.0,5,14,1,2,13,0,5.0,5.715476066494082,12,2,1,0,0,0,0,0,0,0,1.5,3.5566838487557484,1,5,9,0,3.75,3.561951712193752
845,15 dic 2020,34,11,13,1.1538461538461535,15,31,3,16,18,0,11.333333333333336,8.055363982396381,6,10,0,12,0,6,0,0,0,0,3.4,4.476605857119878,18,6,10,0,8.5,6.5383484153110105
846,16 dic 2020,7,5,6,1.0,6,7,0,4,3,0,2.333333333333333,1.699673171197595,3,4,0,0,0,0,0,0,0,0,0.7,1.4177446878757822,3,0,4,0,1.75,1.7853571071357126
847,17 dic 2020,6,4,4,1.0,4,6,0,3,3,0,2.0,1.4142135623730951,3,3,0,0,0,0,0,0,0,0,0.6,1.1999999999999995,0,0,6,0,1.5,2.598076211353316
848,18 dic 2020,3,2,3,1.0,3,2,1,3,0,0,1.0,1.4142135623730951,0,2,0,0,0,1,0,0,0,0,0.3,0.6403124237432848,1,1,1,0,0.75,0.4330127018922193
849,19 dic 2020,19,5,8,1.0,8,19,0,18,1,0,6.333333333333332,8.259674462242579,1,18,0,0,0,0,0,0,0,0,1.9,5.374941860150677,1,9,5,4,4.75,2.8613807855648994
850,20 dic 2020,13,6,7,1.0,7,13,0,6,7,0,4.333333333333333,3.0912061651652345,7,6,0,0,0,0,0,0,0,0,1.3,2.6095976701399777,11,0,2,0,3.25,4.548351349665063
851,21 dic 2020,6,2,4,1.0,4,3,3,3,3,0,2.0,1.4142135623730951,3,3,0,0,0,0,0,0,0,0,0.6,1.1999999999999995,3,1,2,0,1.5,1.118033988749895
852,22 dic 2020,8,5,6,1.0,6,8,0,5,3,0,2.6666666666666665,2.0548046676563256,3,5,0,0,0,0,0,0,0,0,0.8,1.6613247725836149,1,0,5,2,2.0,1.8708286933869709
853,23 dic 2020,13,4,6,1.0,6,10,3,7,6,0,4.333333333333333,3.0912061651652345,6,6,0,0,0,1,0,0,0,0,1.3,2.368543856465402,7,1,5,0,3.25,2.8613807855648994
854,25 dic 2020,1,0,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,1,0,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,0,1,0,0,0.25,0.4330127018922193
855,26 dic 2020,9,4,6,1.3333333333333333,8,7,2,5,4,0,3.0,2.160246899469287,4,5,0,0,0,0,0,0,0,0,0.9,1.8138357147217052,5,3,1,0,2.25,1.9202864369671517
856,27 dic 2020,5,2,2,1.0,2,5,0,0,5,0,1.6666666666666667,2.3570226039551585,3,0,0,2,0,0,0,0,0,0,0.5,1.02469507659596,5,0,0,0,1.25,2.165063509461097
857,28 dic 2020,1,1,1,1.0,1,1,0,1,0,0,0.3333333333333333,0.4714045207910317,0,1,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,1,0,0,0,0.25,0.4330127018922193
858,29 dic 2020,7,5,5,1.0,5,3,4,5,1,1,2.333333333333333,1.8856180831641267,2,5,0,0,0,0,0,0,0,0,0.7,1.552417469626002,2,1,4,0,1.75,1.4790199457749043
859,30 dic 2020,1,1,1,1.0,1,1,0,1,0,0,0.3333333333333333,0.4714045207910317,0,1,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,0,0,1,0,0.25,0.4330127018922193
860,31 dic 2020,8,2,3,1.0,3,8,0,1,7,0,2.6666666666666665,3.091206165165235,7,1,0,0,0,0,0,0,0,0,0.8,2.08806130178211,6,0,2,0,2.0,2.449489742783178
861,1 ene 2021,2,1,1,1.0,1,2,0,2,0,0,0.6666666666666666,0.9428090415820634,0,0,0,0,0,2,0,0,0,0,0.2,0.6000000000000001,0,2,0,0,0.5,0.8660254037844386
862,2 ene 2021,6,3,5,1.0,5,6,0,2,4,0,2.0,1.6329931618554518,2,2,0,2,0,0,0,0,0,0,0.6,0.916515138991168,6,0,0,0,1.5,2.598076211353316
863,3 ene 2021,11,6,8,1.0,8,11,0,8,3,0,3.6666666666666665,3.2998316455372216,2,8,0,1,0,0,0,0,0,0,1.1,2.3853720883753127,2,0,7,2,2.75,2.5860201081971503
864,4 ene 2021,19,5,7,1.0,7,16,3,4,15,0,6.333333333333332,6.342099196813482,15,4,0,0,0,0,0,0,0,0,1.9,4.526588119102512,12,4,3,0,4.75,4.437059837324711
865,5 ene 2021,1,1,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,1,0,0,0,0,0,0,0,0,0,0.1,0.30000000000000004,1,0,0,0,0.25,0.4330127018922193
866,7 ene 2021,5,3,3,1.3333333333333333,4,5,0,2,3,0,1.6666666666666667,1.247219128924647,3,1,0,0,0,1,0,0,0,0,0.5,0.9219544457292888,4,0,1,0,1.25,1.6393596310754999
867,8 ene 2021,8,6,6,1.0,6,4,4,4,4,0,2.6666666666666665,1.8856180831641267,4,4,0,0,0,0,0,0,0,0,0.8,1.6000000000000003,4,0,4,0,2.0,2.0
868,9 ene 2021,7,4,5,1.0,5,7,0,2,5,0,2.333333333333333,2.0548046676563256,3,2,0,2,0,0,0,0,0,0,0.7,1.1,4,2,1,0,1.75,1.4790199457749043
869,10 ene 2021,7,5,6,1.1666666666666667,7,4,3,5,2,0,2.333333333333333,2.0548046676563256,0,5,1,1,0,0,0,0,0,0,0.7,1.4866068747318502,0,0,6,1,1.75,2.48746859276655
870,11 ene 2021,3,3,3,1.0,3,2,1,2,1,0,1.0,0.8164965809277259,0,1,0,1,0,1,0,0,0,0,0.3,0.4582575694955841,1,0,2,0,0.75,0.82915619758885
871,12 ene 2021,6,3,4,1.0,4,6,0,4,2,0,2.0,1.6329931618554518,2,4,0,0,0,0,0,0,0,0,0.6,1.2806248474865696,4,0,2,0,1.5,1.6583123951777
872,13 ene 2021,5,4,4,1.0,4,4,1,4,1,0,1.6666666666666667,1.699673171197595,1,3,0,0,0,1,0,0,0,0,0.5,0.9219544457292888,3,1,1,0,1.25,1.0897247358851685
873,14 ene 2021,5,5,5,1.0,5,5,0,3,2,0,1.6666666666666667,1.247219128924647,2,1,0,0,0,2,0,0,0,0,0.5,0.8062257748298549,2,1,2,0,1.25,0.82915619758885
874,15 ene 2021,4,2,3,1.0,3,4,0,0,3,1,1.3333333333333333,1.247219128924647,4,0,0,0,0,0,0,0,0,0,0.4,1.2000000000000002,2,0,2,0,1.0,1.0
875,16 ene 2021,6,2,2,2.0,4,4,2,2,4,0,2.0,1.6329931618554518,4,2,0,0,0,0,0,0,0,0,0.6,1.2806248474865696,0,0,2,4,1.5,1.6583123951777
876,17 ene 2021,12,4,4,1.25,5,6,6,10,2,0,4.0,4.320493798938574,1,0,0,1,0,10,0,0,0,0,1.2,2.9597297173897488,0,0,12,0,3.0,5.196152422706632
877,18 ene 2021,10,9,10,1.0,10,7,3,3,7,0,3.333333333333333,2.867441755680876,5,3,1,1,0,0,0,0,0,0,1.0,1.6124515496597098,2,0,7,1,2.5,2.6925824035672523
878,19 ene 2021,2,1,2,1.0,2,2,0,0,2,0,0.6666666666666666,0.9428090415820634,2,0,0,0,0,0,0,0,0,0,0.2,0.6000000000000001,0,1,1,0,0.5,0.5
879,20 ene 2021,7,4,5,1.0,5,4,3,5,2,0,2.333333333333333,2.0548046676563256,0,4,0,2,0,1,0,0,0,0,0.7,1.2688577540449522,3,2,2,0,1.75,1.0897247358851685
880,21 ene 2021,8,2,4,1.0,4,8,0,5,3,0,2.6666666666666665,2.0548046676563256,2,5,0,1,0,0,0,0,0,0,0.8,1.5362291495737217,7,0,0,1,2.0,2.9154759474226504
881,22 ene 2021,4,3,4,1.0,4,3,1,2,2,0,1.3333333333333333,0.9428090415820634,1,2,1,0,0,0,0,0,0,0,0.4,0.6633249580710799,2,0,2,0,1.0,1.0
882,23 ene 2021,23,9,11,1.0909090909090908,12,22,1,13,10,0,7.666666666666668,5.557777333511021,8,13,0,2,0,0,0,0,0,0,2.3,4.2906875905849855,17,1,3,2,5.75,6.5335671726859905
883,24 ene 2021,5,3,5,1.0,5,3,2,4,1,0,1.6666666666666667,1.699673171197595,1,4,0,0,0,0,0,0,0,0,0.5,1.2041594578792296,2,0,3,0,1.25,1.299038105676658
884,25 ene 2021,4,4,4,1.0,4,4,0,3,1,0,1.3333333333333333,1.247219128924647,1,3,0,0,0,0,0,0,0,0,0.4,0.916515138991168,2,0,2,0,1.0,1.0
885,26 ene 2021,9,6,7,1.0,7,9,0,2,7,0,3.0,2.943920288775949,7,2,0,0,0,0,0,0,0,0,0.9,2.118962010041709,5,0,4,0,2.25,2.2776083947860752
886,27 ene 2021,15,11,11,1.0,11,11,4,10,5,0,5.0,4.08248290463863,4,10,0,1,0,0,0,0,0,0,1.5,3.07408522978788,3,0,12,0,3.75,4.9180788932265
887,28 ene 2021,8,2,5,1.4,7,8,0,8,0,0,2.6666666666666665,3.771236166328253,0,8,0,0,0,0,0,0,0,0,0.8,2.4000000000000004,0,0,8,0,2.0,3.4641016151377544
888,29 ene 2021,13,6,7,1.1428571428571428,8,10,3,10,3,0,4.333333333333333,4.189935029992179,1,10,2,0,0,0,0,0,0,0,1.3,2.9681644159311653,6,2,5,0,3.25,2.384848003542364
889,30 ene 2021,4,2,4,1.0,4,4,0,1,3,0,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0,0,0,0,0.4,0.916515138991168,1,0,1,2,1.0,0.7071067811865476
890,31 ene 2021,2,1,2,1.0,2,2,0,1,1,0,0.6666666666666666,0.4714045207910317,0,0,1,0,0,1,0,0,0,0,0.2,0.4000000000000001,1,0,1,0,0.5,0.5
891,1 feb 2021,8,8,8,1.0,8,4,4,3,5,0,2.6666666666666665,2.0548046676563256,4,3,1,0,0,0,0,0,0,0,0.8,1.4,4,0,4,0,2.0,2.0
892,2 feb 2021,29,2,5,1.4,7,29,0,21,8,0,9.666666666666666,8.65383665716478,8,2,0,0,0,19,0,0,0,0,2.9,5.87281874401041,2,22,4,1,7.25,8.5841423566947
893,3 feb 2021,3,3,3,1.0,3,3,0,1,2,0,1.0,0.8164965809277259,2,1,0,0,0,0,0,0,0,0,0.3,0.6403124237432848,1,0,2,0,0.75,0.82915619758885
894,4 feb 2021,24,9,9,1.0,9,16,8,4,20,0,8.0,8.640987597877148,13,4,0,7,0,0,0,0,0,0,2.4,4.199999999999998,18,1,4,1,6.0,7.035623639735143
895,5 feb 2021,6,4,4,1.5,6,4,2,6,0,0,2.0,2.8284271247461903,0,6,0,0,0,0,0,0,0,0,0.6,1.8,1,2,3,0,1.5,1.118033988749895
896,6 feb 2021,11,5,6,1.0,6,9,2,8,3,0,3.6666666666666665,3.2998316455372216,3,7,0,0,0,1,0,0,0,0,1.1,2.1656407827707715,8,0,2,1,2.75,3.112474899497183
897,8 feb 2021,37,12,14,1.1428571428571428,16,34,3,11,26,0,12.333333333333336,10.656244908763853,26,11,0,0,0,0,0,0,0,0,3.7,8.124653838779844,4,20,13,0,9.25,7.790218225441443
898,9 feb 2021,24,10,13,1.0,13,22,2,8,16,0,8.0,6.531972647421807,16,8,0,0,0,0,0,0,0,0,2.4,5.122499389946278,4,1,18,1,6.0,7.035623639735143
899,10 feb 2021,7,6,7,1.0,7,5,2,2,5,0,2.333333333333333,2.0548046676563256,5,1,0,0,0,1,0,0,0,0,0.7,1.4866068747318502,1,1,5,0,1.75,1.9202864369671517
900,11 feb 2021,9,8,8,1.0,8,9,0,7,2,0,3.0,2.943920288775949,2,6,0,0,0,1,0,0,0,0,0.9,1.8138357147217052,5,0,4,0,2.25,2.2776083947860752
901,12 feb 2021,14,9,11,1.0,11,9,5,7,7,0,4.666666666666667,3.2998316455372216,6,7,1,0,0,0,0,0,0,0,1.4,2.576819745345025,8,1,5,0,3.5,3.2015621187164243
902,13 feb 2021,13,5,8,1.0,8,12,1,2,11,0,4.333333333333333,4.784233364802442,11,2,0,0,0,0,0,0,0,0,1.3,3.287856444554719,6,1,5,1,3.25,2.2776083947860752
903,14 feb 2021,11,6,8,1.0,8,7,4,2,9,0,3.6666666666666665,3.858612300930076,9,2,0,0,0,0,0,0,0,0,1.1,2.6999999999999997,0,0,10,1,2.75,4.205650960315181
904,15 feb 2021,15,6,6,1.0,6,14,1,3,11,1,5.0,4.320493798938574,11,4,0,0,0,0,0,0,0,0,1.5,3.383784863137726,2,0,13,0,3.75,5.402545696243577
905,16 feb 2021,3,3,3,1.0,3,3,0,1,2,0,1.0,0.8164965809277259,2,1,0,0,0,0,0,0,0,0,0.3,0.6403124237432848,0,0,3,0,0.75,1.299038105676658
906,17 feb 2021,12,6,7,1.0,7,12,0,1,11,0,4.0,4.966554808583781,10,1,1,0,0,0,0,0,0,0,1.2,2.9597297173897488,5,0,7,0,3.0,3.0822070014844885
907,18 feb 2021,22,7,7,1.0,7,22,0,5,17,0,7.333333333333332,7.1336448530109005,17,5,0,0,0,0,0,0,0,0,2.2,5.1536394906900505,8,0,10,4,5.5,3.8405728739343035
908,19 feb 2021,9,3,6,1.3333333333333333,8,9,0,2,7,0,3.0,2.943920288775949,7,2,0,0,0,0,0,0,0,0,0.9,2.118962010041709,1,2,6,0,2.25,2.2776083947860752
909,20 feb 2021,6,3,4,1.5,6,6,0,1,5,0,2.0,2.160246899469287,5,1,0,0,0,0,0,0,0,0,0.6,1.4966629547095764,1,0,4,1,1.5,1.5
910,21 feb 2021,13,6,8,1.375,11,11,2,9,4,0,4.333333333333333,3.6817870057290873,4,9,0,0,0,0,0,0,0,0,1.3,2.8301943396169813,3,3,7,0,3.25,2.48746859276655
911,22 feb 2021,34,16,22,1.3636363636363635,30,30,4,21,13,0,11.333333333333336,8.65383665716478,13,17,0,0,0,4,0,0,0,0,3.4,5.9866518188383075,8,6,19,1,8.5,6.576473218982952
912,23 feb 2021,78,35,44,1.2272727272727273,54,75,3,39,39,0,26.0,18.384776310850235,38,37,1,0,0,2,0,0,0,0,7.8,14.864723340849636,14,24,37,3,19.5,12.539936203984453
913,24 feb 2021,126,20,33,1.2121212121212122,40,126,0,30,96,0,42.0,40.09987531152685,95,29,1,0,0,1,0,0,0,0,12.6,28.775684179529087,19,73,31,3,31.5,25.937424698685874
914,25 feb 2021,146,43,49,1.1428571428571428,56,143,3,122,24,0,48.66666666666666,52.77204647243546,23,119,1,0,0,3,0,0,0,0,14.6,35.45193929815405,8,100,36,2,36.5,38.84263121880391
915,26 feb 2021,165,22,31,1.1935483870967742,37,165,0,49,116,0,55.0,47.54646849837185,116,48,0,0,0,1,0,0,0,0,16.5,36.10886317789581,19,118,28,0,41.25,45.449834983198784
916,27 feb 2021,18,2,7,1.0,7,18,0,13,5,0,6.0,5.354126134736337,5,13,0,0,0,0,0,0,0,0,1.8,4.019950248448357,4,4,9,1,4.5,2.8722813232690143
917,28 feb 2021,7,4,5,1.2,6,7,0,4,3,0,2.333333333333333,1.699673171197595,3,4,0,0,0,0,0,0,0,0,0.7,1.4177446878757822,1,0,5,1,1.75,1.9202864369671517
918,1 mar 2021,186,16,23,1.2608695652173914,29,178,8,27,159,0,62.0,69.46941773183363,158,27,1,0,0,0,0,0,0,0,18.6,47.15336679389924,17,147,22,0,46.5,58.59394166635319
919,2 mar 2021,65,15,20,1.1,22,64,1,15,50,0,21.66666666666667,20.94967514996089,50,15,0,0,0,0,0,0,0,0,6.5,15.173990905493516,13,38,14,0,16.25,13.718144918318947
920,3 mar 2021,28,7,13,1.2307692307692308,16,28,0,11,17,0,9.333333333333334,7.039570693980958,17,11,0,0,0,0,0,0,0,0,2.8,5.758472019555186,9,11,8,0,7.0,4.183300132670378
921,4 mar 2021,70,25,30,1.1666666666666667,35,65,5,30,38,2,23.33333333333333,15.434449203720302,36,27,1,1,0,3,0,0,2,0,7.0,12.449899597988733,14,49,7,0,17.5,18.848076824970764
922,5 mar 2021,55,16,27,1.037037037037037,28,51,4,38,17,0,18.33333333333333,15.542057635833025,17,32,0,0,0,6,0,0,0,0,5.5,10.229858259037615,20,16,19,0,13.75,8.073877630977572
923,6 mar 2021,21,4,9,1.1111111111111112,10,19,2,15,6,0,7.0,6.164414002968977,6,15,0,0,0,0,0,0,0,0,2.1,4.657252408878007,7,12,1,1,5.25,4.602988159880492
924,7 mar 2021,15,5,6,1.5,9,6,9,8,7,0,5.0,3.559026084010437,7,1,0,0,0,7,0,0,0,0,1.5,2.7658633371878665,3,0,12,0,3.75,4.9180788932265
925,8 mar 2021,39,8,12,1.3333333333333333,16,37,2,10,29,0,13.0,12.027745701779144,29,10,0,0,0,0,0,0,0,0,3.9,8.882004278314668,13,8,16,2,9.75,5.3091901453988255
926,9 mar 2021,150,30,40,1.175,47,149,1,87,63,0,50.0,36.68787265568828,63,65,0,0,0,22,0,0,0,0,15.0,25.353500744473138,24,95,31,0,37.5,35.13189434118234
927,10 mar 2021,27,9,15,1.0,15,23,4,14,13,0,9.0,6.3770421565696624,11,12,0,2,0,2,0,0,0,0,2.7,4.473253849269008,7,4,15,1,6.75,5.2141634036535525
928,11 mar 2021,15,9,12,1.0,12,13,2,3,12,0,5.0,5.0990195135927845,12,1,0,0,0,2,0,0,0,0,1.5,3.5566838487557484,7,4,4,0,3.75,2.48746859276655
929,12 mar 2021,25,10,14,1.0,14,24,1,16,9,0,8.333333333333334,6.548960901462832,9,15,0,0,0,1,0,0,0,0,2.5,4.944694126030448,4,14,7,0,6.25,5.11737237261468
930,13 mar 2021,12,4,7,1.0,7,11,1,9,3,0,4.0,3.741657386773941,2,9,0,1,0,0,0,0,0,0,1.2,2.6758176320519302,1,6,4,1,3.0,2.1213203435596424
931,14 mar 2021,28,5,10,1.4,14,28,0,25,3,0,9.333333333333334,11.145502331533661,3,25,0,0,0,0,0,0,0,0,2.8,7.45385806143369,17,1,9,1,7.0,6.6332495807108
932,15 mar 2021,69,15,23,1.0869565217391304,25,66,3,14,55,0,23.0,23.338094752285727,55,11,0,0,0,3,0,0,0,0,6.9,16.367345539213133,15,28,26,0,17.25,11.121488209767614
933,16 mar 2021,24,10,14,1.2142857142857142,17,23,1,4,20,0,8.0,8.640987597877148,19,4,1,0,0,0,0,0,0,0,2.4,5.660388679233963,9,6,8,1,6.0,3.0822070014844885
934,17 mar 2021,23,11,18,1.0,18,23,0,14,9,0,7.666666666666668,5.792715732327589,6,11,3,0,0,3,0,0,0,0,2.3,3.4942810419312296,4,2,17,0,5.75,6.6473679001541655
935,18 mar 2021,23,5,12,1.1666666666666667,14,22,1,18,5,0,7.666666666666668,7.586537784494027,5,17,0,0,0,1,0,0,0,0,2.3,5.119570294468081,8,3,12,0,5.75,4.602988159880492
936,19 mar 2021,9,4,6,1.0,6,9,0,3,6,0,3.0,2.449489742783178,6,3,0,0,0,0,0,0,0,0,0.9,1.9209372712298551,5,1,3,0,2.25,1.9202864369671517
937,20 mar 2021,10,4,5,1.0,5,8,2,4,6,0,3.333333333333333,2.494438257849294,6,4,0,0,0,0,0,0,0,0,1.0,2.04939015319192,4,0,1,5,2.5,2.0615528128088303
938,21 mar 2021,5,4,5,1.0,5,4,1,2,3,0,1.6666666666666667,1.247219128924647,2,1,1,0,0,1,0,0,0,0,0.5,0.6708203932499369,2,0,3,0,1.25,1.299038105676658
939,22 mar 2021,23,7,11,1.0,11,23,0,6,17,0,7.666666666666668,7.0395706939809575,10,6,0,7,0,0,0,0,0,0,2.3,3.6345563690772495,5,1,17,0,5.75,6.759252917297888
940,23 mar 2021,21,19,19,1.0,19,21,0,9,12,0,7.0,5.0990195135927845,12,9,0,0,0,0,0,0,0,0,2.1,4.253234063627347,15,0,6,0,5.25,6.139014578904338
941,24 mar 2021,27,11,11,1.0,11,26,1,17,10,0,9.0,6.97614984548545,10,13,0,0,0,4,0,0,0,0,2.7,4.605431575867781,19,1,7,0,6.75,7.562241731127088
942,25 mar 2021,34,20,21,1.1904761904761905,25,18,16,11,23,0,11.333333333333336,9.392668535736913,22,9,1,0,0,2,0,0,0,0,3.4,6.740919818541088,12,6,16,0,8.5,6.0621778264910695
943,26 mar 2021,17,6,8,1.125,9,16,1,4,13,0,5.666666666666668,5.436502143433364,4,3,9,0,0,0,0,0,1,0,1.7,2.794637722496424,7,0,9,1,4.25,3.8324274291889733
944,27 mar 2021,14,5,9,1.1111111111111112,10,12,2,10,4,0,4.666666666666667,4.109609335312651,4,7,0,0,0,3,0,0,0,0,1.4,2.33238075793812,6,0,5,3,3.5,2.29128784747792
945,28 mar 2021,18,7,9,1.0,9,8,10,16,2,0,6.0,7.118052168020874,2,6,0,0,0,10,0,0,0,0,1.8,3.2802438933713454,2,0,16,0,4.5,6.689544080129826
946,29 mar 2021,34,14,18,1.1111111111111112,20,32,2,17,17,0,11.333333333333336,8.013876853447538,16,12,0,1,0,5,0,0,0,0,3.4,5.571355310873646,10,8,16,0,8.5,5.722761571129799
947,30 mar 2021,14,7,9,1.1111111111111112,10,7,7,11,3,0,4.666666666666667,4.642796092394708,3,11,0,0,0,0,0,0,0,0,1.4,3.3226495451672293,2,3,5,4,3.5,1.118033988749895
948,31 mar 2021,24,9,16,1.0625,17,23,1,12,12,0,8.0,5.656854249492381,11,12,1,0,0,0,0,0,0,0,2.4,4.565084884205331,14,3,7,0,6.0,5.244044240850758
