,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
33,10 nov 2018,87,10,12,1.1666666666666667,14,87,0,75,11,1,29.0,32.782108941717986,0,11,1,75,0,0,0,0,0,0,0,7.909090909090909,21.445298469507968,12,65,0,10,0,17.4,24.31131423843639
34,11 nov 2018,126,4,6,2.0,12,126,0,125,1,0,42.0,58.69128271444292,0,1,0,125,0,0,0,0,0,0,0,11.454545454545455,35.90736474562296,0,126,0,0,0,25.2,50.40000000000001
35,12 nov 2018,100,12,15,1.4,21,99,1,82,18,0,33.333333333333336,35.188381921057726,7,9,9,61,14,0,0,0,0,0,0,9.090909090909092,17.106375980129563,18,44,38,0,0,20.0,18.46076921474292
36,13 nov 2018,165,23,29,1.1724137931034482,34,159,6,158,7,0,55.0,72.88804200050009,2,7,0,156,0,0,0,0,0,0,0,15.0,44.6338640292527,5,141,15,4,0,33.0,54.22545527701912
37,14 nov 2018,214,16,18,1.3333333333333333,24,206,8,180,33,1,71.33333333333333,77.94157355923015,0,33,0,181,0,0,0,0,0,0,0,19.454545454545453,51.94991230435093,26,41,147,0,0,42.8,54.418379248191506
38,15 nov 2018,271,16,24,1.2083333333333333,29,268,3,236,35,0,90.33333333333331,103.98824719916936,10,35,0,226,0,0,0,0,0,0,0,24.63636363636364,64.47307080870378,51,69,150,1,0,54.2,55.09047104536321
39,16 nov 2018,172,17,26,1.2307692307692308,32,163,9,169,3,0,57.33333333333334,78.96975511056256,23,3,0,146,0,0,0,0,0,0,0,15.636363636363635,41.7400455792597,45,64,63,0,0,34.4,28.890136725187023
40,17 nov 2018,26,8,12,1.0,12,22,4,6,20,0,8.666666666666666,8.379870059984357,0,18,2,6,0,0,0,0,0,0,0,2.363636363636364,5.244438218856712,13,13,0,0,0,5.2,6.368673331236263
41,18 nov 2018,28,13,13,1.0,13,20,8,24,4,0,9.333333333333334,10.498677165349081,0,3,0,25,0,0,0,0,0,0,0,2.5454545454545454,7.152413913734887,18,10,0,0,0,5.6,7.310266752998826
42,19 nov 2018,2,2,2,1.0,2,2,0,1,1,0,0.6666666666666666,0.4714045207910317,0,1,0,1,0,0,0,0,0,0,0,0.18181818181818185,0.3856946079199349,1,1,0,0,0,0.4,0.4898979485566356
43,20 nov 2018,365,12,18,1.4444444444444444,26,351,14,350,15,0,121.66666666666669,161.57213731196214,73,15,0,265,12,0,0,0,0,0,0,33.18181818181818,76.1646758756293,109,91,165,0,0,73.0,64.40807402802851
44,21 nov 2018,61,9,13,1.3076923076923077,17,61,0,48,13,0,20.33333333333333,20.27039439401436,0,13,0,48,0,0,0,0,0,0,0,5.545454545454546,13.930761490402428,13,35,0,13,0,12.2,12.796874618437114
45,22 nov 2018,57,8,14,1.1428571428571428,16,57,0,54,3,0,19.0,24.77902338672773,25,3,0,29,0,0,0,0,0,0,0,5.181818181818182,10.355658811562282,35,22,0,0,0,11.4,14.5547243189282
46,23 nov 2018,31,6,10,1.0,10,30,1,25,6,0,10.333333333333334,10.656244908763853,1,6,0,23,1,0,0,0,0,0,0,2.8181818181818183,6.603279926303589,9,22,0,0,0,6.2,8.634813257969162
47,24 nov 2018,52,9,9,1.2222222222222223,11,47,5,37,15,0,17.333333333333332,15.195028426721974,0,15,0,37,0,0,0,0,0,0,0,4.727272727272728,11.070771584269743,5,47,0,0,0,10.4,18.40217378463751
48,25 nov 2018,7,3,4,1.0,4,7,0,5,2,0,2.333333333333333,2.0548046676563256,0,2,0,5,0,0,0,0,0,0,0,0.6363636363636364,1.4937887931959075,2,4,0,1,0,1.4,1.4966629547095764
49,26 nov 2018,65,11,12,1.0833333333333333,13,55,10,47,10,8,21.66666666666667,17.93197020841702,0,18,0,47,0,0,0,0,0,0,0,5.909090909090909,13.97695860696548,9,56,0,0,0,13.0,21.780725424099174
50,27 nov 2018,214,14,18,1.3333333333333333,24,213,1,211,3,0,71.33333333333333,98.76684103933307,58,3,0,153,0,0,0,0,0,0,0,19.454545454545453,45.34587008630773,15,161,38,0,0,42.8,60.71375461952588
51,28 nov 2018,258,19,30,1.3666666666666667,41,258,0,230,28,0,86.0,102.46300145255684,6,28,0,224,0,0,0,0,0,0,0,23.45454545454545,63.92092222051134,38,126,84,10,0,51.6,47.25082009870305
52,29 nov 2018,153,13,21,1.2380952380952381,26,143,10,140,13,0,51.0,63.155891781105154,1,11,2,139,0,0,0,0,0,0,0,13.909090909090908,39.67929284893742,7,88,5,53,0,30.6,34.48245930904581
53,30 nov 2018,35,8,12,1.25,15,34,1,17,18,0,11.666666666666664,8.259674462242577,10,18,0,7,0,0,0,0,0,0,0,3.1818181818181817,5.73376255680781,4,19,0,12,0,7.0,7.429670248402684
54,1 dic 2018,31,4,4,1.0,4,2,29,28,3,0,10.333333333333334,12.552113589175153,0,1,2,28,0,0,0,0,0,0,0,2.8181818181818183,7.986558956580873,1,30,0,0,0,6.2,11.906300852909775
55,2 dic 2018,43,8,9,1.0,9,25,18,36,7,0,14.333333333333336,15.58489297008128,1,6,1,35,0,0,0,0,0,0,0,3.9090909090909087,9.976832667868324,10,33,0,0,0,8.6,12.8
56,3 dic 2018,126,16,21,1.0952380952380951,23,124,2,108,18,0,42.0,47.24404724407086,7,18,0,101,0,0,0,0,0,0,0,11.454545454545455,28.810868013693703,35,60,1,30,0,25.2,22.586721763018197
57,4 dic 2018,56,7,11,1.0909090909090908,12,55,1,54,2,0,18.666666666666668,24.997777679003573,8,2,0,46,0,0,0,0,0,0,0,5.090909090909091,13.138801283737939,3,44,8,1,0,11.2,16.630093204789922
58,5 dic 2018,112,10,13,1.2307692307692308,16,105,7,31,81,0,37.333333333333336,33.369979855486214,4,73,8,27,0,0,0,0,0,0,0,10.181818181818182,21.315031750208508,55,57,0,0,0,22.4,27.441574298862662
59,6 dic 2018,89,12,15,1.2,18,79,10,74,15,0,29.66666666666667,31.940917679713305,14,10,5,60,0,0,0,0,0,0,0,8.090909090909092,17.05847987181713,2,81,1,5,0,17.8,31.644272783554374
60,7 dic 2018,273,21,31,1.1935483870967742,37,266,7,194,79,0,91.0,79.65341591335972,38,78,1,156,0,0,0,0,0,0,0,24.818181818181817,47.75851791102664,34,137,54,48,0,54.6,45.25306619445803
61,8 dic 2018,38,14,15,1.0666666666666669,16,23,15,6,19,13,12.666666666666664,5.312459150169743,0,18,14,5,1,0,0,0,0,0,0,3.4545454545454546,6.140234469370284,14,1,0,23,0,7.6,9.350935782048769
62,9 dic 2018,9,7,8,1.125,9,9,0,2,7,0,3.0,2.943920288775949,1,7,0,1,0,0,0,0,0,0,0,0.8181818181818182,1.9917183909278768,3,1,0,5,0,1.8,1.939071942966532
63,10 dic 2018,58,12,15,1.0,15,57,1,37,21,0,19.33333333333333,15.15109090315135,0,20,1,37,0,0,0,0,0,0,0,5.2727272727272725,11.537219683118154,9,35,0,14,0,11.6,12.877888025604198
